query,link,score_description,score
how much is my council tax,/council-tax-bands,3 perfect,3
money taken from my universal credit,,,
where do i send my old passport,,,
address to send old passport,,,
download the gov.uk id check,,,
road traffic estimates in great britain,,,
how do i get a utr number,,,
care homes with visa sponsorship,,,
pay your tax bill by debit or corporate credit card,/pay-corporation-tax/debit-or-credit-card,3 perfect,3
de register as self employed,,,
careers in health and social care,,,
list of tier 2 sponsors,,,
how to repay tax credits,/tax-credits-overpayments/repay-your-tax-credits,3 perfect,3
register and maintain a trust,,,
download gov.uk id check app,,,
find and compare schools in england,,,
apply for transfer of residence tax relief,/tax-sell-home,3 perfect,3
check if a vehicle is insured,,,
sick pay for self employed,,,
state pension from april 2023,,,
check if my car is insured,,,
ind out about money taken off your universal credit payments,,,
violence against women and girls,,,
link gov uk id check,,,
capital gains tax payment for property disposals,/capital-gains-tax,3 perfect,3
capital gains tax payment for property disposals,/report-and-pay-your-capital-gains-tax,3 perfect,3
register of licenced sponsor workers,,,
how to track my visa application,,,
register of licenced sponsors: workers,,,
civil service pay remit guidance,,,
renew indefinite leave to remain,,,
view your customs financial accounts,,,
working from home during covid,,,
how to get utr number,,,
change bank details for state pension,,,
apply to visit or stay in uk,,,
special controls for disabled use,,,
health and safety at work,,,
head of central bank digital currency,,,
registration as a british citizen,,,
check if car is insured,,,
change bank details for child benefit,,,
health and safety at work act 1974,,,
social security and child support web chat,,,
how to change bank details,,,
how to register a trust,,,
how to find my national insurance number,,,
teacher trial mr andrew nicolaides,,,
working on a student visa,,,
life in the uk test result,,,
indefinite leave to remain renewal,,,
how to find national insurance number,,,
how to change phone number,,,
take a private plate off a vehicle,,,
