query,link,score_description,score,,Searches - GA4 Item-list view events (3 months Feb to April),Clicks - GA4 Item-list click events (3 months Feb to April),Item-list CTR,Weighted sort (Expected True Value),clusterID
check ulez,,,,,128,16,13%,62.96%,1034
financial,,,,,193,57,30%,62.96%,274
learning,,,,,185,52,28%,62.96%,38
chat line,/contact-hmrc,3 perfect,3,,104,1,1%,62.96%,870
difficulties,,,,,123,13,11%,62.96%,72
top up ni,,,,,115,8,7%,62.96%,636
homeoffice,,,,,107,3,3%,62.96%,416
media,,,,,180,49,27%,62.96%,854
cat,,,,,272,107,39%,62.96%,147
eid ul fitr,,,,,137,22,16%,62.96%,1399
medical records,,,,,110,5,5%,62.96%,36
home office contact number,,,,,202,63,31%,62.96%,158
congestion,,,,,275,109,40%,62.96%,328
cpi,,,,,186,53,28%,62.96%,1396
review,,,,,251,94,37%,62.96%,840
psychology,,,,,124,14,11%,62.96%,29
tesla,,,,,135,21,16%,62.96%,444
passport expiry date,,,,,135,21,16%,62.96%,803
planning applications,,,,,284,115,40%,62.96%,225
nhs pension statement,,,,,160,37,23%,62.96%,586
internet,,,,,233,83,36%,62.96%,873
kcsie,,,,,125,15,12%,62.96%,1287
age of consent,,,,,109,5,5%,62.96%,174
reporting,,,,,220,75,34%,62.96%,835
ni checker,/check-national-insurance-record,3 perfect,3,,166,41,25%,62.96%,465
hmrc number,,,,,239,87,36%,62.96%,506
sheffield,,,,,212,70,33%,62.96%,1210
car not,,,,,223,77,35%,62.96%,470
ombudsman,,,,,223,77,35%,62.96%,1032
hospital,https://www.nhs.uk/service-search,2 good,2,,188,55,29%,62.96%,110
change surname,,,,,261,101,39%,62.96%,806
b6 assurance,,,,,399,188,47%,62.96%,1052
stamp,,,,,264,103,39%,62.96%,847
equal pay,,,,,129,18,14%,62.96%,699
letter of authority,,,,,113,8,7%,62.96%,842
easy read,,,,,227,80,35%,62.96%,939
cbs,,,,,103,2,2%,62.96%,1217
find a vat number,,,,,122,14,11%,62.96%,617
earnings,,,,,252,96,38%,62.96%,395
sa300,,,,,117,11,9%,62.96%,1153
renew brp,,,,,336,149,44%,62.96%,768
right to study,,,,,182,52,29%,62.96%,833
interview,,,,,155,35,23%,62.96%,296
inbox,,,,,101,1,1%,62.96%,761
the government of the russian federation,/world/russia/news,2 good,2,,120,13,11%,62.96%,310
emigration,,,,,166,42,25%,62.96%,216
welfare,,,,,169,44,26%,62.96%,106
emergency support,,,,,134,22,16%,62.96%,378
emergency alarm,,,,,399,189,47%,62.96%,510
self certificate form,/taking-sick-leave,3 perfect,3,,191,58,30%,62.96%,194
retention document,,,,,202,65,32%,62.96%,284
waiter,,,,,167,43,26%,62.96%,1277
my gov,,,,,140,26,19%,62.96%,897
find my local council,,,,,105,4,4%,62.96%,916
id cards,,,,,124,16,13%,62.96%,1453
social care,,,,,462,229,50%,62.96%,189
assylum,,,,,108,6,6%,62.96%,1033
ch,,,,,100,1,1%,62.96%,1138
das,,,,,165,42,25%,62.96%,1241
pr03,,,,,141,27,19%,62.96%,1411
low,,,,,114,10,9%,62.96%,260
referees,,,,,133,22,17%,62.96%,818
spa,,,,,106,5,5%,62.96%,170
population,,,,,163,41,25%,62.96%,216
parents,,,,,139,26,19%,62.96%,103
2 year funding,,,,,212,72,34%,62.96%,975
pa302,,,,,185,55,30%,62.96%,1287
job vacancy,,,,,134,23,17%,62.96%,176
your service,,,,,126,18,14%,62.96%,422
adress,,,,,329,146,44%,62.96%,1319
marketing,,,,,259,102,39%,62.97%,237
risk assessment,,,,,232,85,37%,62.97%,249
visa application tracking,,,,,305,131,43%,62.97%,702
lincolnshire,,,,,224,80,36%,62.97%,1209
logistics,,,,,124,17,14%,62.97%,237
ask a question,/contact-hmrc,2 good,2,,124,17,14%,62.97%,921
care taker,,,,,116,12,10%,62.97%,188
brb,,,,,116,12,10%,62.97%,524
asthma,,,,,200,65,33%,62.97%,122
log burners,,,,,103,4,4%,62.97%,735
rotherham,,,,,133,23,17%,62.97%,1210
find my council,,,,,152,35,23%,62.97%,916
hence,,,,,98,1,1%,62.97%,211
survey,,,,,236,88,37%,62.97%,834
cf-n-701,,,,,109,8,7%,62.97%,1472
employers,,,,,255,100,39%,62.97%,264
lost,,,,,328,146,45%,62.97%,770
ballet,,,,,128,20,16%,62.97%,1292
birmingham,,,,,266,107,40%,62.97%,1210
pip tribunal,,,,,166,44,27%,62.97%,248
cash gifts,,,,,139,27,19%,62.97%,434
odometer,,,,,139,27,19%,62.97%,1349
civil service pay,,,,,185,56,30%,62.97%,439
freelance,,,,,204,68,33%,62.97%,50
psc,,,,,388,184,47%,62.97%,344
human resources,,,,,126,19,15%,62.97%,26
new birth certificate,,,,,110,9,8%,62.97%,58
benefits in kind,,,,,348,159,46%,62.97%,78
progress,,,,,121,16,13%,62.97%,71
gym,,,,,140,28,20%,62.97%,171
driving in uk,,,,,159,40,25%,62.97%,477
create,,,,,132,23,17%,62.97%,919
appeal form,,,,,224,81,36%,62.97%,204
https://www.gov.uk/government/organisations/hm-courts-and-tribunals- service/about/personal-informat,,,,,97,1,1%,62.97%,268
b1,,,,,443,219,49%,62.97%,1377
visa progress,,,,,143,30,21%,62.97%,709
deductions,,,,,216,76,35%,62.97%,218
vize,,,,,281,117,42%,62.97%,757
change my bank details,,,,,127,20,16%,62.97%,383
crc,,,,,119,15,13%,62.97%,682
authorisation code,,,,,165,44,27%,62.97%,725
companieshouse,,,,,130,22,17%,62.97%,416
change ownership,,,,,206,70,34%,62.97%,804
part time jobs,,,,,320,142,44%,62.97%,88
access uk,,,,,293,125,43%,62.97%,908
money helper,,,,,166,45,27%,62.97%,433
monkeypox,,,,,258,103,40%,62.97%,1255
computer,,,,,207,71,34%,62.97%,236
motorhome,,,,,207,71,34%,62.97%,1365
change of bank details,,,,,226,83,37%,62.97%,383
co,,,,,126,20,16%,62.97%,201
mor,,,,,99,3,3%,62.97%,1073
worn,,,,,391,187,48%,62.97%,668
art,,,,,164,44,27%,62.97%,1190
receipt,,,,,110,10,9%,62.97%,449
red listed countries,/guidance/travel-to-england-from-another-country-during-coronavirus-covid-19,2 good,2,,132,24,18%,62.97%,657
my claim,,,,,105,7,7%,62.97%,367
gv79,,,,,219,79,36%,62.97%,1036
identify check,,,,,103,6,6%,62.97%,764
passenger locator form,,,,,398,192,48%,62.97%,207
inclusion,,,,,190,61,32%,62.97%,72
rar,,,,,109,10,9%,62.97%,1068
gatway,,,,,355,165,46%,62.97%,1278
drug,,,,,201,68,34%,62.97%,136
motoring,,,,,147,34,23%,62.97%,476
s041,,,,,115,14,12%,62.97%,1151
fund,,,,,288,123,43%,62.97%,371
audit,,,,,288,123,43%,62.97%,841
check application,,,,,161,43,27%,62.97%,764
vaccinations,,,,,172,50,29%,62.97%,783
dual purpose vehicle,,,,,437,217,50%,62.97%,590
cms,,,,,283,120,42%,62.97%,400
truck driver,,,,,148,35,24%,62.97%,479
vat 484,,,,,221,81,37%,62.97%,618
annex a,,,,,167,47,28%,62.97%,1022
tax credit over payment,/tax-credits-overpayments/repay-your-tax-credits,3 perfect,3,,132,25,19%,62.97%,10
can i still drive,,,,,132,25,19%,62.97%,475
cni,,,,,224,83,37%,62.97%,1432
incline test,,,,,197,66,34%,62.97%,243
pfi,,,,,162,44,27%,62.97%,1124
council tax statement,/council-tax/paying-your-bill,3 perfect,3,,135,27,20%,62.97%,17
my acount,,,,,100,5,5%,62.97%,741
total reward statement,,,,,146,34,23%,62.97%,395
tax bracket,/tax-codes,3 perfect,3,,138,29,21%,62.97%,6
red list country,/guidance/travel-to-england-from-another-country-during-coronavirus-covid-19,2 good,2,,111,12,11%,62.97%,657
administration,,,,,284,121,43%,62.97%,312
care assistant jobs,,,,,184,58,32%,62.97%,190
jersey,,,,,249,99,40%,62.97%,666
which,,,,,95,2,2%,62.97%,212
ofstead,,,,,95,2,2%,62.97%,1253
map,,,,,268,111,41%,62.97%,715
universal credit complaint,,,,,187,60,32%,62.97%,461
my pip,,,,,106,9,8%,62.97%,248
tier 2 sponsorship jobs,,,,,274,115,42%,62.97%,957
integrated review,,,,,366,173,47%,62.97%,840
oyster,,,,,104,8,8%,62.97%,1276
contact number,,,,,177,54,31%,62.97%,868
hsbc,,,,,145,34,23%,62.97%,545
reclaim tax,/claim-tax-refund,3 perfect,3,,183,58,32%,62.97%,6
free driving lessons,,,,,121,19,16%,62.97%,904
county councils,,,,,140,31,22%,62.97%,306
deregister,,,,,159,43,27%,62.97%,1310
physical education,,,,,132,26,20%,62.97%,30
my visa application,,,,,278,118,42%,62.97%,709
br,,,,,124,21,17%,62.97%,1099
adblue,,,,,97,4,4%,62.97%,1032
ni shortfall,/check-national-insurance-record,3 perfect,3,,92,1,1%,62.97%,465
photography,,,,,111,13,12%,62.97%,1199
boot camps,/guidance/find-a-skills-bootcamp,3 perfect,3,,95,3,3%,62.97%,664
apply for,,,,,241,95,39%,62.97%,903
warning,,,,,414,204,49%,62.97%,511
paying for care,,,,,117,17,15%,62.97%,188
get help,,,,,263,109,41%,62.97%,922
n i number,,,,,96,4,4%,62.97%,1472
work place pension,,,,,142,33,23%,62.97%,62
tracking my visa application,,,,,142,33,23%,62.97%,702
tier5,,,,,142,33,23%,62.97%,1370
carer jobs,,,,,153,40,26%,62.97%,179
national lockdown,/coronavirus,3 perfect,3,,99,6,6%,62.97%,786
p53a,,,,,164,47,29%,62.97%,202
counter signature,,,,,148,37,25%,62.97%,592
eid 2023,,,,,140,32,23%,62.97%,1398
cod,,,,,286,124,43%,62.97%,641
plc,,,,,105,10,10%,62.97%,1335
tax reclaim,/claim-tax-refund,3 perfect,3,,178,56,31%,62.97%,6
sharecod,,,,,97,5,5%,62.97%,386
selfempoyers login,,,,,97,5,5%,62.97%,748
resident support fund,,,,,116,17,15%,62.97%,373
total rewards statement,,,,,127,24,19%,62.97%,395
vet,,,,,100,7,7%,62.97%,113
missing payment,,,,,138,31,22%,62.97%,459
appendix w,,,,,111,14,13%,62.97%,1478
private pensions,,,,,257,106,41%,62.97%,271
access ni,,,,,95,4,4%,62.97%,465
siren,,,,,117,18,15%,62.97%,509
royal mail,,,,,120,20,17%,62.97%,734
transport behaviour choice intervention report,,,,,93,3,3%,62.97%,268
carers card,,,,,93,3,3%,62.97%,431
new,,,,,139,32,23%,62.97%,60
flat,,,,,112,15,13%,62.97%,568
real estate,,,,,131,27,21%,62.97%,46
old passport,,,,,169,51,30%,62.97%,173
ecp,,,,,115,17,15%,62.97%,1300
downloads,,,,,126,24,19%,62.97%,755
parent portal,,,,,126,24,19%,62.97%,758
pa,,,,,99,7,7%,62.97%,1302
a rated sponsorship employer,/uk-visa-sponsorship-employers,3 perfect,3,,172,53,31%,62.97%,254
sincere systems group,,,,,91,2,2%,62.97%,417
sale car,,,,,110,14,13%,62.97%,474
company names,,,,,178,57,32%,62.97%,807
restaurant,,,,,151,40,26%,62.97%,165
latest update,,,,,108,13,12%,62.97%,739
abandon test,,,,,165,49,30%,62.97%,243
public liability insurance,,,,,138,32,23%,62.97%,270
age,,,,,176,56,32%,62.97%,175
military,,,,,260,109,42%,62.97%,316
lanzarote,,,,,125,24,19%,62.97%,1252
register with a linking code,,,,,98,7,7%,62.97%,725
pilot,,,,,144,36,25%,62.97%,502
rp02,,,,,90,2,2%,62.97%,1265
gp near me,,,,,90,2,2%,62.97%,1278
oxford,,,,,128,26,20%,62.97%,1207
long in,,,,,101,9,9%,62.97%,97
police report,,,,,101,9,9%,62.97%,314
communication,,,,,131,28,21%,62.97%,215
planning portal,,,,,129,27,21%,62.97%,758
tax office number,/contact-hmrc,3 perfect,3,,102,10,10%,62.97%,19
un,,,,,102,10,10%,62.97%,978
care home costs,,,,,132,29,22%,62.97%,186
belfast,,,,,105,12,11%,62.97%,1210
carbon,,,,,278,121,44%,62.97%,609
ni records,/check-national-insurance-record,3 perfect,3,,224,87,39%,62.97%,465
tsl,,,,,89,2,2%,62.97%,239
iform,,,,,89,2,2%,62.97%,1316
vaccine,,,,,335,157,47%,62.97%,782
i’d,,,,,181,60,33%,62.97%,900
taxreturn,,,,,92,4,4%,62.97%,546
universalcredit,,,,,103,11,11%,62.97%,1310
gwf number,,,,,122,23,19%,62.97%,855
ni payment,,,,,168,52,31%,62.97%,465
memorandum of understanding,,,,,168,52,31%,62.97%,1046
cloned number plate,,,,,141,35,25%,62.97%,864
gdp,,,,,214,81,38%,62.97%,1191
budget 2022,,,,,114,18,16%,62.97%,393
etias visa,,,,,114,18,16%,62.97%,705
sw6,,,,,114,18,16%,62.97%,925
tax office phone number,/contact-hmrc,3 perfect,3,,106,13,12%,62.97%,19
minor,,,,,125,25,20%,62.97%,277
state pension 2022,,,,,98,8,8%,62.97%,309
confirm my identity,,,,,117,20,17%,62.97%,279
extra help for cost of living,,,,,128,27,21%,62.97%,68
share transfer form,,,,,147,39,27%,62.97%,386
midwife,,,,,120,22,18%,62.97%,117
chagossian,,,,,293,131,45%,62.97%,1033
nvq,,,,,166,51,31%,62.97%,1202
evaluation,,,,,204,75,37%,62.97%,227
ppi tax claim,/guidance/claim-a-refund-of-income-tax-deducted-from-savings-and-investments,3 perfect,3,,242,99,41%,62.97%,9
section 13 notice,,,,,88,2,2%,62.97%,967
food waste,,,,,180,60,33%,62.97%,639
link id check,,,,,118,21,18%,62.97%,1452
my,,,,,91,4,4%,62.97%,898
laws,,,,,183,62,34%,62.97%,364
universal credit complaints,,,,,156,45,29%,62.97%,461
cas,,,,,248,103,42%,62.97%,542
sponsorships,,,,,148,40,27%,62.97%,795
working,,,,,213,81,38%,62.97%,61
solar grant,,,,,205,76,37%,62.97%,587
ida,,,,,89,3,3%,62.97%,540
childbenefit,,,,,92,5,5%,62.97%,78
special immigration appeals commission,,,,,95,7,7%,62.97%,209
unemployment,,,,,314,145,46%,62.97%,263
moon sighting,,,,,352,169,48%,62.97%,562
behaviours,,,,,98,9,9%,62.97%,125
carpentry,,,,,117,21,18%,62.97%,1340
j,,,,,90,4,4%,62.97%,1483
care workers,,,,,355,171,48%,62.97%,188
esa contact number,,,,,223,88,39%,62.97%,329
15 minute,,,,,123,25,20%,62.97%,972
add a director,,,,,96,8,8%,62.97%,918
drivers,,,,,234,95,41%,62.97%,479
medical exemption,,,,,107,15,14%,62.97%,36
retail price index,,,,,118,22,19%,62.97%,425
history,,,,,383,189,49%,62.97%,280
bus pass renewal,,,,,102,12,12%,62.97%,492
collect,,,,,102,12,12%,62.97%,753
search code,,,,,94,7,7%,62.97%,725
pension fund,,,,,140,36,26%,62.97%,373
can,,,,,86,2,2%,62.97%,901
kontakt,,,,,86,2,2%,62.97%,1320
emergency loan,,,,,132,31,23%,62.97%,460
speeches,,,,,105,14,13%,62.97%,845
subscribe,,,,,143,38,27%,62.97%,761
utr registration,,,,,116,21,18%,62.97%,930
joinery,,,,,89,4,4%,62.97%,1343
credit,,,,,381,188,49%,62.97%,461
social,,,,,119,23,19%,62.97%,275
luton,,,,,111,18,16%,62.97%,1479
jsp 850,,,,,130,30,23%,62.97%,1212
nhs pensions,,,,,333,158,47%,62.97%,586
emergency payment,,,,,106,15,14%,62.97%,459
northampton,,,,,109,17,16%,62.97%,1205
call for evidence,,,,,182,63,35%,62.97%,866
ni card,/national-insurance,3 perfect,3,,101,12,12%,62.97%,465
driving in the uk,,,,,101,12,12%,62.97%,477
counsil tax,/council-tax-bands,3 perfect,3,,120,24,20%,62.97%,6
counsil tax,/pay-council-tax,3 perfect,3,,120,24,20%,62.97%,6
counsil tax,/council-tax-arrears,2 good,2,,120,24,20%,62.97%,6
contact telephone numbers,,,,,93,7,8%,62.97%,868
404,,,,,93,7,8%,62.97%,1393
pass port,,,,,88,4,5%,62.97%,775
covid rules,/coronavirus,3 perfect,3,,318,149,47%,62.97%,784
form g,,,,,156,47,30%,62.97%,1463
crn,,,,,175,59,34%,62.97%,654
chapter 8 appendix 1.7,,,,,132,32,24%,62.97%,961
cancel passport application,,,,,151,44,29%,62.97%,792
find vat number,,,,,116,22,19%,62.97%,617
log burner,,,,,84,2,2%,62.97%,735
something else,,,,,157,48,31%,62.97%,938
price,,,,,103,14,14%,62.97%,453
change my mobile number,,,,,95,9,9%,62.97%,861
carbon capture,,,,,168,55,33%,62.97%,609
plastic,,,,,314,147,47%,62.97%,686
dyslexic,,,,,87,4,5%,62.97%,1255
storage heaters,,,,,106,16,15%,62.97%,615
"""hong kong""",,,,,125,28,22%,62.97%,1408
do it online,,,,,90,6,7%,62.97%,939
statements,,,,,136,35,26%,62.97%,287
acount,,,,,82,1,1%,62.97%,741
make a claim,,,,,355,173,49%,62.97%,917
supermarket vouchers,,,,,374,185,49%,62.97%,443
return,,,,,274,122,45%,62.97%,778
commercial property,,,,,139,37,27%,62.97%,413
patriality visa with english grandfather,,,,,85,3,4%,62.97%,802
shopping vouchers,,,,,96,10,10%,62.97%,443
legionella,,,,,180,63,35%,62.97%,1250
lone,,,,,99,12,12%,62.97%,548
face masks,,,,,99,12,12%,62.97%,661
aerated sponsorship,,,,,172,58,34%,62.97%,1343
passport valid,,,,,118,24,20%,62.97%,801
my payments,,,,,91,7,8%,62.97%,456
buckle guards,,,,,91,7,8%,62.97%,543
ebss portal,,,,,164,53,32%,62.97%,758
innovator founder,,,,,337,162,48%,62.97%,1343
coucil tax,/council-tax-bands,3 perfect,3,,110,19,17%,62.97%,6
coucil tax,/pay-council-tax,3 perfect,3,,110,19,17%,62.97%,6
coucil tax,/council-tax-arrears,2 good,2,,110,19,17%,62.97%,6
lps,,,,,129,31,24%,62.97%,675
beauty,,,,,102,14,14%,62.97%,1198
vouchers,,,,,275,123,45%,62.97%,443
report dangerous driving,,,,,86,4,5%,62.97%,477
overseas income assessment form,,,,,89,6,7%,62.97%,395
payment after leaving,,,,,89,6,7%,62.97%,779
events,,,,,173,59,34%,62.97%,295
consent letter,,,,,149,44,30%,62.97%,842
buy to let,,,,,222,90,41%,62.97%,923
critical skills,,,,,95,10,11%,62.97%,75
verification,,,,,109,19,17%,62.97%,226
vfs global,,,,,128,31,24%,62.97%,1404
personal loan,,,,,147,43,29%,62.97%,460
check my application,,,,,120,26,22%,62.97%,764
check a company,/get-information-about-a-company,3 perfect,3,,166,55,33%,62.97%,762
discretionary assistance fund,,,,,212,84,40%,62.97%,373
adult learning,,,,,112,21,19%,62.97%,108
washing,,,,,85,4,5%,62.97%,516
crs,,,,,131,33,25%,62.97%,692
section b6 assurance,,,,,177,62,35%,62.97%,1052
title deed,,,,,296,137,46%,62.97%,1026
death grant,,,,,115,23,20%,62.97%,320
welfare fund,,,,,88,6,7%,62.97%,373
giftaid,,,,,88,6,7%,62.97%,1310
marrige,,,,,80,1,1%,62.97%,1037
furniture,,,,,153,47,31%,62.97%,1199
pts,,,,,83,3,4%,62.97%,1192
passport update,,,,,367,182,50%,62.97%,739
nottingham,,,,,213,85,40%,62.97%,1210
pre paid prescription,,,,,113,22,19%,62.97%,244
dcms,,,,,324,155,48%,62.97%,1285
exemption certificate,,,,,97,12,12%,62.97%,224
ukraine war,,,,,108,19,18%,62.97%,303
grants for solar panels,,,,,108,19,18%,62.97%,587
eus,,,,,81,2,2%,62.97%,988
eas,,,,,100,14,14%,62.97%,450
• asl.4857 – declaration of withdrawal template,,,,,92,9,10%,62.97%,756
corperation tax,/corporation-tax,3 perfect,3,,165,55,33%,62.97%,4
translate,,,,,165,55,33%,62.97%,817
glasgow,,,,,111,21,19%,62.97%,1208
trike,,,,,84,4,5%,62.97%,504
proof of id,,,,,130,33,25%,62.97%,1453
edinburgh,,,,,95,11,12%,62.97%,1208
restraining order,,,,,214,86,40%,62.97%,365
supported living,,,,,114,23,20%,62.97%,63
my p45,,,,,79,1,1%,62.97%,1434
canary islands,,,,,125,30,24%,62.97%,495
home office address,,,,,90,8,9%,62.97%,158
citb test,,,,,90,8,9%,62.97%,243
personal statement,,,,,90,8,9%,62.97%,268
changing a phone number on line,,,,,90,8,9%,62.97%,859
southampton,,,,,109,20,18%,62.97%,1205
mr roe a8664ck,,,,,82,3,4%,62.97%,1254
change of surname,,,,,147,44,30%,62.97%,806
missing pension,,,,,120,27,23%,62.97%,596
who,,,,,85,5,6%,62.97%,156
iom,,,,,85,5,6%,62.97%,746
building control,,,,,158,51,32%,62.97%,213
pay remit,,,,,131,34,26%,62.97%,699
sponsored jobs,,,,,350,172,49%,62.97%,179
partner,,,,,250,109,44%,62.97%,1037
nhs registration,,,,,107,19,18%,62.97%,586
motor,,,,,126,31,25%,62.97%,482
divorce papers,,,,,199,77,39%,62.97%,322
employers ni,,,,,145,43,30%,62.97%,465
customer services,,,,,118,26,22%,62.97%,421
d10,,,,,110,21,19%,62.97%,1438
connect,,,,,83,4,5%,62.97%,876
dentists,https://www.nhs.uk/service-search,3 perfect,3,,102,16,16%,62.97%,111
risk,,,,,221,91,41%,62.97%,250
house hold support,,,,,121,28,23%,62.97%,67
ulev,,,,,167,57,34%,62.97%,1419
al1,,,,,78,1,1%,62.97%,740
dept,,,,,78,1,1%,62.97%,1035
death in service,,,,,97,13,13%,62.97%,320
coffee,,,,,143,42,29%,62.97%,647
p30,,,,,89,8,9%,62.97%,1406
post study work permit,/graduate-visa,3 perfect,3,,108,20,19%,62.97%,832
scottish welfare fund,,,,,100,15,15%,62.97%,373
opg 100,,,,,100,15,15%,62.97%,950
family reunification,,,,,84,5,6%,62.97%,1019
st,,,,,84,5,6%,62.97%,1111
homecare,,,,,95,12,13%,62.97%,69
countries on red list,/guidance/travel-to-england-from-another-country-during-coronavirus-covid-19,2 good,2,,95,12,13%,62.97%,657
download the gov.uk id check app,,,,,268,121,45%,62.97%,1451
immigration officer,,,,,87,7,8%,62.97%,315
tax refound,/claim-tax-refund,3 perfect,3,,279,128,46%,62.97%,6
child poverty,,,,,125,31,25%,62.97%,104
pay rent,,,,,125,31,25%,62.97%,699
permit,,,,,271,123,45%,62.97%,799
allowances,,,,,217,89,41%,62.97%,402
talent management system europe and recruitment,,,,,82,4,5%,62.97%,209
my utr,,,,,155,50,32%,62.97%,931
balance,,,,,120,28,23%,62.97%,591
i form,,,,,77,1,1%,62.97%,205
hmpo,,,,,196,76,39%,62.97%,1156
home office jobs,,,,,107,20,19%,62.97%,179
dwp phone number,,,,,153,49,32%,62.97%,858
a level,,,,,118,27,23%,62.97%,255
payg,,,,,83,5,6%,62.97%,1153
ppr,,,,,83,5,6%,62.97%,1354
visa sponsership,/uk-visa-sponsorship-employers,3 perfect,3,,129,34,26%,62.97%,705
passport check,,,,,248,109,44%,62.97%,764
home office contact,,,,,194,75,39%,62.97%,158
unsorn,,,,,167,58,35%,62.97%,547
section b6,,,,,286,133,47%,62.97%,1052
cherished,,,,,105,19,18%,62.97%,1031
nationalinsurance,,,,,78,2,3%,62.97%,269
cigarettes,,,,,143,43,30%,62.97%,135
fatca,,,,,216,89,41%,62.97%,1270
veichle tax,/vehicle-tax,3 perfect,3,,116,26,22%,62.97%,6
creat account,,,,,116,26,22%,62.97%,919
change of,,,,,89,9,10%,62.97%,804
carers premium,,,,,292,137,47%,62.97%,105
apply for advance,,,,,138,40,29%,62.97%,793
secure messages,,,,,84,6,7%,62.97%,846
my benefits,,,,,103,18,17%,62.97%,78
dental charges,,,,,103,18,17%,62.97%,328
london congestion charge,,,,,103,18,17%,62.97%,328
change logbook,,,,,103,18,17%,62.97%,805
contact number hmrc,,,,,195,76,39%,62.97%,506
acrs,,,,,95,13,14%,62.97%,1090
road,,,,,214,88,41%,62.97%,490
mobility cars,,,,,133,37,28%,62.97%,482
to do list,,,,,136,39,29%,62.97%,765
expat,,,,,109,22,20%,62.97%,1022
tm1 form,,,,,82,5,6%,62.97%,1005
over payments,,,,,93,12,13%,62.97%,457
risk management,,,,,112,24,21%,62.97%,249
view correspondence,,,,,77,2,3%,62.97%,283
tell me once,,,,,77,2,3%,62.97%,938
pension scheme,,,,,296,140,47%,62.97%,403
is my vehicle insured,,,,,115,26,23%,62.97%,481
hongkong,,,,,88,9,10%,62.97%,1253
r 40,,,,,80,4,5%,62.97%,949
o,,,,,80,4,5%,62.97%,1475
environmental,,,,,153,50,33%,62.97%,223
british values,,,,,226,96,42%,62.97%,395
workplace,,,,,99,16,16%,62.97%,264
dorm,,,,,272,125,46%,62.97%,551
equity release,,,,,91,11,12%,62.97%,389
"""minister of state""",,,,,110,23,21%,62.97%,311
affidavit,,,,,221,93,42%,62.97%,1046
missing pensions,,,,,94,13,14%,62.97%,596
sop,,,,,94,13,14%,62.97%,1127
settings,,,,,105,20,19%,62.97%,755
go,,,,,78,3,4%,62.97%,926
accountancy,,,,,124,32,26%,62.97%,50
uti number,,,,,89,10,11%,62.97%,505
tax cod,/tax-codes,3 perfect,3,,181,68,38%,62.97%,2
savings credit,,,,,300,143,48%,62.97%,461
xxx,,,,,100,17,17%,62.97%,1061
pip mobility,,,,,119,29,24%,62.97%,248
change bank account details,,,,,92,12,13%,62.97%,383
vat 1,,,,,165,58,35%,62.97%,960
carpenter,,,,,165,58,35%,62.97%,1340
tax phone number,/contact-hmrc,3 perfect,3,,103,19,18%,62.97%,19
nike,,,,,95,14,15%,62.97%,1316
e mail,,,,,114,26,23%,62.97%,1455
letter of invitation,,,,,87,9,10%,62.97%,842
quads,,,,,87,9,10%,62.97%,1332
pay slips,,,,,133,38,29%,62.97%,699
sacc,,,,,133,38,29%,62.97%,1051
per diem,,,,,206,84,41%,62.97%,1459
post code,,,,,98,16,16%,62.97%,725
nutrition,,,,,117,28,24%,62.97%,37
gender,,,,,290,137,47%,62.97%,346
replacement national insurance card,,,,,90,11,12%,62.97%,269
compassionate leave,,,,,336,166,49%,62.97%,776
employing people,,,,,101,18,18%,62.97%,80
dvs,,,,,101,18,18%,62.97%,149
solar panels grants,,,,,101,18,18%,62.97%,587
food hygiene certificate,,,,,74,1,1%,62.97%,639
death notice,,,,,85,8,9%,62.97%,320
mar,,,,,77,3,4%,62.97%,1239
religion,,,,,123,32,26%,62.97%,348
find gp,https://www.nhs.uk/service-search,3 perfect,3,,96,15,16%,62.97%,1443
irish passport,,,,,115,27,23%,62.97%,802
music,,,,,188,73,39%,62.97%,1185
check progress,,,,,88,10,11%,62.97%,764
find a gp,https://www.nhs.uk/service-search,3 perfect,3,,88,10,11%,62.97%,1443
guernsey,,,,,161,56,35%,62.97%,1350
dangerous driving,,,,,99,17,17%,62.97%,477
garden,,,,,145,46,32%,62.97%,1197
uti,,,,,118,29,25%,62.97%,505
"""climate change""",,,,,91,12,13%,62.97%,528
digital id consultation,,,,,91,12,13%,62.97%,1453
legalize,,,,,75,2,3%,62.97%,354
cic 34,,,,,75,2,3%,62.97%,1385
mechanical engineer,,,,,86,9,10%,62.97%,605
esg,,,,,159,55,35%,62.97%,535
part time,,,,,278,130,47%,62.97%,88
inf54/1,,,,,78,4,5%,62.97%,959
dsb,,,,,78,4,5%,62.97%,1134
back to work,,,,,97,16,16%,62.97%,62
privacy notice,,,,,216,91,42%,62.97%,265
0,,,,,81,6,7%,62.97%,965
cleaning,,,,,200,81,41%,62.97%,516
vat 5l,,,,,100,18,18%,62.97%,618
funds,,,,,165,59,36%,62.97%,371
speech,,,,,184,71,39%,62.97%,845
pva statement,,,,,84,8,10%,62.97%,538
covid guidelines,/coronavirus,3 perfect,3,,176,66,38%,62.97%,784
tens,,,,,76,3,4%,62.97%,82
cartax,,,,,295,141,48%,62.97%,1320
teacher jobs,,,,,168,61,36%,62.97%,179
notification,,,,,133,39,29%,62.97%,226
animal care,,,,,106,22,21%,62.97%,188
medical exemption certificate,,,,,79,5,6%,62.97%,36
ca 5403,,,,,79,5,6%,62.97%,894
eye test,,,,,263,121,46%,62.97%,150
scattering ashes,,,,,82,7,9%,62.97%,563
tobacco,,,,,328,162,49%,62.97%,135
find out about money taken off my universal credit payments,,,,,101,19,19%,62.97%,937
