query,link,score_description,score,,In Search API?,query translated,Page title,Page title translated by Google Translate,Page views (7 days)
,/dod-o-hyd-i-dystysgrif-ynni,,,,no,,Dod o hyd i dystysgrif ynni,Find an energy certificate,55
,/llyfr-log-cerbyd,,,,no,,Cael llyfr log cerbyd (V5CW),Get a Vehicle Log Book (V5CW),49
,/cyfraddau-treth-incwm,,,,no,,Cyfraddau Treth Incwm a Lwfansau Personol,Income Tax Rates and Personal Allowances,48
,/adnewyddu-trwydded-yrru-yn-70-oed,,,,no,,Adnewyddu eich trwydded yrru yn 70 oed neu’n hŷn,Renew your driver's license at the age of 70 or over,47
,/gwneud-cais-copi-cofnod-troseddol,,,,no,,Gwneud cais am wiriad DBS sylfaenol,Apply for a basic DBS check,46
,/cyfraddau-isafswm-cyflog-cenedlaethol,,,,no,,Cyfraddau'r Isafswm Cyflog Cenedlaethol a’r Cyflog Byw Cenedlaethol,National Minimum Wage Rates and National Living Wage,44
,/ad-daliad-treth-cerbyd,,,,no,,Canslo eich treth cerbyd a chael ad-daliad,Cancel your vehicle tax and get a refund,42
,/credyd-pensiwn,,,,no,,Credyd Pensiwn,Pension Credit,41
,/ffurflenni-treth-hunanasesiad,,,,no,,Ffurflenni Treth Hunanasesiad,Self Assessment Tax returns,40
,/gwirio-faint-o-dreth-incwm-a-daloch-y-llynedd,,,,no,,Gwirio faint o Dreth Incwm a daloch y llynedd,Checking the amount of income tax you paid last year,40
,/codau-treth,,,,no,,Codau treth,Tax codes,37
,/tablau-cyfraddau-treth-cerbyd,,,,no,,Cyfraddau treth cerbyd,Vehicle tax rates,35
,/chwilio-gwybodaeth-eiddo-cofrestrfa-tir,,,,no,,Chwilio am wybodaeth am dir ac eiddo,Looking for information on land and property,34
,/hawlio-ad-daliad-treth,,,,no,,Sut i wneud cais am ad-daliad treth,How to apply for a tax refund,33
,/gweithio-i-chi-eich-hun,,,,no,,Gweithio i chi’ch hun,Work for yourself,33
,/gwneud-cais-am-rif-yswiriant-gwladol,,,,no,,Gwneud cais am rif Yswiriant Gwladol,Apply for National Insurance Number,32
,/help-gyda-chostau-gofal-plant,,,,no,,Help i dalu am ofal plant,Help to pay for childcare,31
,/rhif-yswiriant-gwladol-coll,,,,no,,Dod o hyd i rif Yswiriant Gwladol sydd ar goll,Find missing National Insurance Number,30
,/mewngofnodwch-i-reoli-balans-eich-benthyciad-myfyriwr,,,,no,,Rheoli balans eich benthyciad myfyrwyr,Manage your student loan balance,30
,/lwfans-ceisio-gwaith,,,,no,,Lwfans Ceisio Gwaith (JSA),Jobseeker's Allowance (JSA),29
,/treth-incwm,,,,no,,Treth Incwm: rhagarweiniad,Income Tax: Introduction,28
,/newid-enw-trwydded-yrru,,,,no,,Newid yr enw neu rywedd ar eich trwydded yrru,Change the name or gender on your driving license,28
,/cysylltwch-gwasanaeth-pensiwn,,,,no,,Cysylltu â'r Gwasanaeth Pensiwn,Contact the Pension Service,27
,/rheolau-golwg-ar-gyfer-gyrru,,,,no,,Rheolau golwg ar gyfer gyrru,View rules for driving,26
,/cymraeg/arian-a-threth,,,,no,,Arian a Threth,Money and tax,25
,/cysylltu-canolfan-byd-gwaith,,,,no,,Cysylltu â'r Ganolfan Byd Gwaith,Contact with Jobcentre Plus,25
,/gofal-plant-syn-rhydd-o-dreth,,,,no,,Gofal Plant sy’n Rhydd o Dreth,Tax -free childcare,25
,/lwfans-cyflogaeth-a-chymorth,,,,no,,Lwfans Cyflogaeth a Chymorth (ESA),Employment and Support Allowance (ESA),24
,/cofnodi-canlyniad-covid19,,,,no,,Cofnodi canlyniad prawf llif unffordd cyflym COVID-19,Record Covid-19's high-speed flow test result,24
,/dod-o-hyd-i-fanylion-cyswllt-pensiwn,,,,no,,Dod o hyd i fanylion cyswllt pensiwn,Find pension contact details,23
,/gordaliadau-a-thandaliadau-treth,,,,no,,Gordaliadau a thandaliadau treth,Overpayments and tax underpayments,23
,/budd-dal-plant,,,,no,,Budd-dal Plant,Child benefit,22
,/tal-salwch-statudol,,,,no,,Tâl Salwch Statudol (SSP),Statutory Sick Pay (SSP),21
,/lwfans-gofalwr,,,,no,,Lwfans Gofalwr,Carer's Allowance,21
,/gwirio-cofnod-yswiriant-gwladol,,,,no,,Gwirio’ch cofnod Yswiriant Gwladol,Checking your National Insurance Record,20
,/ceisio-am-lun-id-tystysgrif-awdurdod-pleidleiswyr,,,,no,,Cyflwynwch gais am ddull adnabod â llun i bleidleisio (a elwir yn 'Dystysgrif Awdurdod Pleidleiswyr'),Submit an application for a photo identification to vote (known as 'Voter Authority Certificate'),20
,/cofrestru-ar-gyfer-taw,,,,no,,Cofrestru ar gyfer TAW,Register for VAT,20
,/ffeilio-datganiad-cadarnhau-gyda-thyr-cwmniau,,,,no,,Ffeilio’ch datganiad cadarnhau (ffurflen flynyddol) gyda Thŷ’r Cwmnïau,Filed your confirmation statement (Annual Return) with Companies House,20
,/gwirio-angen-ffurflen-dreth,,,,no,,Gwirio a oes rhaid i chi anfon Ffurflen Dreth Hunanasesiad,Check if you have to send a self -assessment tax return,19
,/cymraeg/pasbort,,,,no,,Pasbort,Passport,18
,/gwneud-cais-arlein-i-adnewyddu-trwydded-yrru,,,,no,,"Amnewid trwydded yrru os yw ar goll, wedi'i dwyn, ei difetha neu ei dinistrio","Replace driver's license if missing, stolen, spoiled or destroyed",18
,/ffurflenni-a-thaflenni-hunanasesiad,,,,no,,Ffurflenni ar gyfer cwblhau Ffurflenni Treth Hunanasesiad,Forms for completing self -assessment tax returns,18
,/lwfans-byw-ir-anabl,,,,no,,Lwfans Byw i’r Anabl (DLA) i oedolion,Disability Living Allowance (DLA) for Adults,17
,/defnyddio-llog-syn-rhydd-o-dreth-ar-gynilion,,,,no,,Treth ar log ar gynilion,Log on tax on savings,17
,/cysylltwch-ar-ganolfan-gwasanaeth-anabledd,,,,no,,Cysylltu â’r Ganolfan Gwasanaeth Anabledd,Contact the Disability Service Center,17
,/cofrestru-ar-gyfer-a-chyflwynoch-ffurflen-dreth-hunanasesiad,,,,no,,Cofrestru ar gyfer Hunanasesiad,Sign up for self -assessment,17
budd-daliadau,/sut-a-phryd-caiff-eich-budd-daliadau-eu-talu,2 good,2,,yes,benefit,Sut a phryd caiff eich budd-daliadau eu talu,How and when are your benefits paid,16
credyd cynhwyso,/sut-a-phryd-caiff-eich-budd-daliadau-eu-talu,1 okay,1,,yes,CREDIT CONTAINS,Sut a phryd caiff eich budd-daliadau eu talu,How and when are your benefits paid,16
,/newidiadau-effeithio-credydau-treth,,,,no,,Rhoi gwybod am newidiadau sy’n effeithio ar eich credydau treth,Report changes affecting your tax credits,15
,/help-gyda-chostau-gofal-plant/gofal-plant-yn-rhad-ac-am-ddim-i-blant-2-oed,,,,no,,Addysg a gofal plant yn rhad ac am ddim i blant 2 oed,FREE EDUCATION AND CHILD CARE FOR 2 YEARS YEARS,15
,/cymraeg/gyrru-a-thrafnidiaeth,,,,no,,Gyrru a thrafnidiaeth,Driving and transport,15
,/dod-a-nwyddau-i-mewn-ir-du-at-ddefnydd-personol,,,,no,,Dod â nwyddau i mewn i’r DU at ddefnydd personol,Bring goods into the UK for personal use,15
,/cymraeg/budddaliadau,,,,no,,Budd-daliadau,Benefit,15
,/budd-dal-plant-16-19,,,,no,,Budd-dal Plant pan fo’ch plentyn yn troi’n 16 oed,Child Benefit when your child turns 16,15
,/ar-ol-marwolaeth,,,,no,,Beth i'w wneud ar ôl i rywun farw,What to do after someone died,15
,/help-i-dalu-ffioedd-llysoedd-a-thribiwnlysoedd,,,,no,,Help i dalu ffioedd llysoedd a thribiwnlysoedd,Help to pay court fees and tribunals,15
,/dod-o-hyd-i-utr-sydd-ar-goll,,,,no,,Dod o hyd i’ch Cyfeirnod Unigryw y Trethdalwr (UTR),Find your unique taxpayer reference (UTR),15
pensiwn,/pensiwn-sylfaenol-y-wladwriaeth,2 good,2,,yes,pension,Pensiwn sylfaenol y Wladwriaeth,The basic pension of the state,14
dal,/pensiwn-sylfaenol-y-wladwriaeth,1 okay,1,,yes,hold,,,
ol,/pensiwn-sylfaenol-y-wladwriaeth,1 okay,1,,yes,ol,,,
y,/pensiwn-sylfaenol-y-wladwriaeth,1 okay,1,,yes,the,,,
,/cael-eich-pensiwn-y-wladwriaeth,,,,no,,Cael eich Pensiwn y Wladwriaeth,Get your State Pension,14
,/rheoli-eich-credydau-treth,,,,no,,Rheoli’ch credydau treth,Manage your tax credits,14
,/cerbydau-wediu-heithrio-o-dreth-cerbyd,,,,no,,Cerbydau sydd wedi'u heithrio o dreth cerbyd,Vehicles excluded from vehicle tax,14
,/grant-mamolaeth-cychwyn-cadarn,,,,no,,Grant Mamolaeth Cychwyn Cadarn,Sure Starting Maternity Grant,14
,/cymryd-rhif-cofrestru-preifat-oddi-ar-gerbyd,,,,no,,Cymryd rhif cofrestru preifat oddi ar gerbyd,Taking a private registration number off a vehicle,14
,/cymraeg/cyfiawnder-ar-gyfraith,,,,no,,Cyfiawnder a'r Gyfraith,Justice and the law,14
,/cymraeg/gwaith-a-materion-cyflogaeth,,,,no,,Gwaith a materion cyflogaeth,Work and employment issues,13
,/id-am-drwydded-yrru,,,,no,,Dogfennau adnabod sydd eu hangen ar gyfer cais am drwydded yrru,Identification documents required for a driver's license,13
,/30-awr-o-ofal-plant-yn-rhad-ac-am-ddim,,,,no,,30 awr o ofal plant yn rhad ac am ddim,30 hours of free childcare,13
,/cyfrifoldebau-gwerthu-cerbyd,,,,no,,Gwerthu cerbyd,A vehicle's sale,13
,/yswiriant-gwladol,,,,no,,Yswiriant Gwladol: cyflwyniad,National Insurance: Introduction,13
,/gwirio-gwybodaeth-trwydded-yrru-rhywun,,,,no,,Gwirio gwybodaeth trwydded yrru rhywun,Check someone's driving license information,13
,/ad-dalu-eich-benthyciad-myfyrwyr,,,,no,,Ad-dalu eich benthyciad myfyrwyr,Refunding Your Student Loan,13
,/rhoi-rhif-cofrestru-preifat-ar-gerbyd,,,,no,,Rhoi rhif cofrestru preifat ar gerbyd,Put a private registration number on a vehicle,13
,/debyd-uniongyrchol-treth-cerbyd,,,,no,,Taliadau Debyd Uniongyrchol treth cerbyd,Vehicle Direct Debit Payments,12
,/gwasanaeth-cynhaliaeth-plant,,,,no,,Gwasanaeth Cynhaliaeth Plant,Child Maintenance Service,12
,/lwfans-gweini,,,,no,,Lwfans Gweini,Serving allowance,12
,/cymraeg/dinasyddiaeth-a-byw-yn-y-du,,,,no,,Dinasyddiaeth a byw yn y DU,Citizenship and living in the UK,12
,/cael-rhif-eori,,,,no,,Cael rhif EORI,Have an eori number,12
,/cysylltwch-ar-uned-lwfans-gofalwyr,,,,no,,Cysylltu â’r Uned Lwfans Gofalwr,Contact the Carer's Allowance Unit,11
,/atwrneiaeth,,,,no,,"Gwneud, cofrestru neu roi terfyn ar atwrneiaeth arhosol","Make, register or end a lasting power of attorney",11
,/budd-dal-tai,,,,no,,Budd-dal tai,Housing Benefit,11
,/mewngofnodi-cymorth-i-gynilo,,,,no,,Mewngofnodi i’ch cyfrif Cymorth i Gynilo,Login to your Help to Save account,11
lwfans myfyrwyr anabl,/lwfans-priodasol,0 bad,0,,yes,Disabled Students' Allowance,Lwfans Priodasol,Marital allowance,11
taliad annibynniaeth personol,/lwfans-priodasol,0 bad,0,,yes,Personal Independence Payment,,,
profir neu daniel,/lwfans-priodasol,1 okay,1,,yes,Tested or Daniel,,,
,/anfon-ffurflen-taw,,,,no,,Anfon Ffurflen TAW,Sending VAT Form,11
,/gwirio-cerbyd-petrol-e10,,,,no,,Gwirio os gall eich cerbyd defnyddio petrol E10,Check if your vehicle can use Petrol E10,10
,/cymryd-cerbydau-y-tu-allan-ir-du,,,,no,,Cymryd cerbyd y tu allan i’r DU,Take a vehicle outside the UK,10
,/rhoi-gwybod-am-newidiadau-budd-dal-plant,,,,no,,Rhoi gwybod am newidiadau sy’n effeithio ar eich Budd-dal Plant,Report changes affecting your child benefit,10
,/taliad-tanwydd-gaeaf,,,,no,,Taliad Tanwydd Gaeaf,Winter Fuel Payment,10
,/cymraeg/cwmniau,,,,no,,Cwmniau,Companion,10
,/costau-tai-a-chredyd-cynhwysol,,,,no,,Costau tai a Chredyd Cynhwysol,Housing and Universal Credit Costs,10
,/cyfrifiannell-credyd-pensiwn,,,,no,,Cyfrifiannell Credyd Pensiwn,Pension Credit Calculator,10
,/credydau-yswiriant-gwladol,,,,no,,Credydau Yswiriant Gwladol,National Insurance Credits,10
,/help-gyda-chostau-gofal-plant/gofal-plant-ac-addysg-yn-rhad-ac-am-ddim-i-blant-2-i-4-oed,,,,no,,15 awr o ofal plant yn rhad ac am ddim i blant 3 a 4 oed,15 hours of free childcare for 3 and 4 year olds,10
,/talu-dirwy-llys-ar-lein,,,,no,,Talu dirwy llys ar-lein,Paying a Court fine online,10
,/beth-iw-wneud-os-ywch-cerbyd-wedi-cael-ei-ddwyn,,,,no,,Beth i’w wneud os yw eich cerbyd wedi cael ei ddwyn,What to do if your vehicle has been stolen,9
,/cael-tystysgrif-ynni-newydd,,,,no,,Cael tystysgrif ynni newydd,Get a new energy certificate,9
,/dyddiadau-taliadau-budd-dal-plant,,,,no,,Dyddiadau taliadau Budd-dal Plant,Child Benefit Payments Dates,9
,/cynllun-gostyngiad-cartrefi-cynnes,,,,no,,Cynllun Gostyngiad Cartrefi Cynnes,Warm Home Discount Plan,9
,/done/gwirio-treth-cerbyd,,,,no,,Rhowch adborth ar Gwirio os yw cerbyd wedi'i drethu,Give feedback on checking if a vehicle is taxed,9
,/anfon-eich-nodyn-ffitrwydd-ar-gyfer-eich-cais-esa,,,,no,,Anfon eich nodyn ffitrwydd ar gyfer eich cais ESA,Send your fitness note for your ESA application,9
,/cofrestru-i-mewn-i-eich-cyfrif-ad-dalu-benthyciad-myfyrwyr,,,,no,,Cofrestru i mewn i’ch cyfrif ad-dalu benthyciad myfyrwyr,Sign In to Your Student Loan Refund Account,9
,/gwirio-rhif-eori,,,,no,,Gwirio rhif EORI,Checking Ei Number,9
,/cymraeg/pensiynau,,,,no,,Pensiynau,Pensions,9
,/lwfans-gofalwr-hysbysu-newidiadau,,,,no,,Lwfans Gofalwr: hysbysu newidiadau,Carer's Allowance: Notify changes,8
,/gwneud-cais-am-brofiant,,,,no,,Gwneud cais am brofiant,Apply for probate,8
,/rhyddhadau-treth-incwm,,,,no,,Hawlio rhyddhadau Treth Incwm,Claim income tax reliefs,8
,/ffioedd-llysoedd-a-thribiwnlysoedd,,,,no,,Ffioedd llysoedd a thribiwnlysoedd,Courts and tribunals fees,8
,/cymraeg/cofrestru-tir,,,,no,,Cofrestru Tir,Land Registration,8
,/gwirio-os-ydych-yn-gymwys-i-gael-cymorth-cyfreithiol,,,,no,,Gwirio os ydych yn gymwys i gael cymorth cyfreithiol,Check if you are eligible for legal aid,8
,/profi-budd-dal-plant,,,,no,,Profi eich bod yn gymwys ar gyfer Budd-dal Plant,Prove that you are eligible for child benefit,8
,/cael-help-cynilion-incwm-isel,,,,no,,Help gyda chynilion os ydych ar incwm isel (Cymorth i Gynilo),Help with savings if you are on a low income (Help to Save),8
,/cyfrifwch-gynhaliaeth-plant,,,,no,,Cyfrifwch eich cynhaliaeth plant,Count your child maintenance,8
,/pensiwn-y-wladwriaeth-newydd,,,,no,,Pensiwn Newydd y Wladwriaeth,New State Pension,8
,/credyd-gofalwyr,,,,no,,Credyd Gofalwr,Caretaker credit,8
,/budd-dal-plant/sut-i-hawlio,,,,no,,Sut i hawlio,How to claim,8
,/dod-o-hyd-i-ganolfan-asesu-lwfans-myfyrwyr-anabl,,,,no,,Dod o hyd i ganolfan asesu Lwfans Myfyrwyr Anabl,Find Disabled Students' Allowance Assessment Center,8
,/treuliau-a-buddiannau-ar-gyfer-cyflogwyr,,,,no,,Treuliau a buddiannau ar gyfer cyflogwyr,Expenses and interests for employers,7
,/rhoi-gwybod-i-cthem-newid-manylion,,,,no,,Rhoi gwybod i CThEM am newid i’ch manylion personol,Inform HMRC of a change to your personal details,7
,/hysbysu-twyll-budd-daliadau,,,,no,,Hysbysu twyll budd-daliadau,Inform benefit fraud,7
,/dod-ddirprwy,,,,no,,Dirprwyon: gwneud penderfyniadau dros rywun sydd heb allu,Deputies: make decisions for someone who is unable to,7
,/talu-treth-gorfforaeth,,,,no,,Talu eich bil Treth Gorfforaeth,Pay your corporation tax bill,7
,/gwneud-cais-am-ofal-plant-syn-rhydd-o-dreth,,,,no,,Gwneud cais am Ofal Plant sy’n Rhydd o Dreth,Apply for tax -free childcare,7
,/help-gyda-chostau-gofal-plant/credyd-cynhwysol,,,,no,,Credyd Cynhwysol a gofal plant,Universal Credit and Childcare,7
,/terfynau-eich-eiddo,,,,no,,Terfynau eich eiddo,The limits of your property,7
,/lwfans-mamolaeth,,,,no,,Lwfans Mamolaeth,Maternity allowance,6
,/gwirio-sut-i-mewnforio-allforio,,,,no,,Gwirio sut i fewnforio neu allforio nwyddau,Checking how to import or export goods,6
,/newid-cyfeiriad-v5cw/newid-enw-cyfeiriad-v5cw,,,,no,,Newid eich enw a chyfeiriad ar yr un pryd,Change your name and address at the same time,6
,/hysbysu-newid-amgylchiadau-budd-daliadau,,,,no,,Budd-daliadau: hysbysu newid yn eich amgylchiadau,Benefits: Notify a change in your circumstances,6
,/dirwyon-llythyrau-gyrru-nad-ydych-yn-berchen-ar-y-cerbyd,,,,no,,Dirwyon a llythyrau gyrru pan nad ydych yn berchen ar y cerbyd,Fines and Driving Letters When You Don't Own The Vehicle,6
,/cyflwyno-hawliad-i-dribiwnlys-cyflogaeth,,,,no,,Gwneud hawliad i dribiwnlys cyflogaeth,Make a claim to an employment tribunal,6
,/taliad-cymorth-profedigaeth,,,,no,,Taliad Cymorth Profedigaeth,Bereavement Support Payment,6
,/lwfans-ceisio-gwaith/cymhwyster,,,,no,,Cymhwyster,Qualification,6
,/ar-ol-marwolaeth/sefydliadau-sydd-angen-i-chi-gysylltu-a-nhw,,,,no,,Rhoi gwybod am farwolaeth heb gyfeirnod Dywedwch Wrthym Unwaith,Report death without reference Tell us once,6
,/premiymau-anabledd-cymhorthdal-incwm,,,,no,,Premiymau anabledd,Disability Premiums,6
,/rhyddhad-treth-ar-gyfer-cyflogeion,,,,no,,Hawlio rhyddhad ar gyfer eich treuliau swydd,Claim relief for your job expenses,6
,/anfonwch-rhent-prydles-manylion,,,,no,,"Anfonwch eich manylion rhent, prydles neu berchenogaeth at Asiantaeth y Swyddfa Brisio","Send your rent, lease or ownership details to the Valuation Office Agency",6
,/cymraeg/profedigaeth,,,,no,,Profedigaeth,Bereavement,6
,/cofrestru-tir-neu-eiddo-gyda-chofrestrfa-tir-em,,,,no,,Cofrestru tir neu eiddo gyda Chofrestrfa Tir EF,Land or Property Registration with Land Registry,6
,/pensiwn-ychwanegol-y-wladwriaeth,,,,no,,Pensiwn Ychwanegol y Wladwriaeth,Extra State Pension,6
,/tal-treth-budd-dal-plant,,,,no,,Tâl Treth Budd-dal Plant Incwm Uchel,High Income Child Benefit Tax Payment,6
,/taliadau-angladd,,,,no,,Cael help gyda chostau angladd (Taliad Costau Angladd),Get help with funeral costs (Funeral Costs Payment),6
,/pensiwn-ychwanegol-y-wladwriaeth/sut-i-wneud-cais,,,,no,,Sut i wneud cais,How to apply,
,/treth-incwm/sut-rydych-talu-treth-incwm,,,,no,,Sut rydych yn talu Treth Incwm,How do you pay income tax,
,/absenoldeb-a-thal-ar-y-cyd-i-rieni/pryd-y-gallwch-ddechrau,,,,no,,Pryd y gallwch ddechrau,When you can start,
,/gwasanaeth-cynhaliaeth-plant/beth-yw-cynhaliaeth-plant,,,,no,,Beth yw cynhaliaeth plant,What is child maintenance,
,/cadw-cofnodion-taw/cyfrif-taw,,,,no,,Cyfrif TAW,VAT Count,
,/talu-treth-twe/gwirio-bod-eich-taliad-wedi-dod-i-law,,,,no,,Gwirio bod eich taliad wedi dod i law,Checking your payment has been received,
,/aros-yn-eiddo-eich-partner-pan-fyddwch-yn-ysgaru-neun-gwahanu/gwneud-cais-os-ywr-eiddo-yn-gofrestredig,,,,no,,Gwneud cais os yw’r eiddo yn gofrestredig,Apply if the property is registered,
,/talu-treth-etifeddiant/cymeradwyo-taliad,,,,no,,Cymeradwyo taliad drwy’ch cyfrif banc ar-lein,Approve payment via your online bank account,
,/pensiwn-sylfaenol-y-wladwriaeth/gwneud-cais-am-bensiwn-y-wladwriaeth-gohiriedig,,,,no,,Gwneud cais am Bensiwn y Wladwriaeth gohiriedig,Applying for Deferred State Pension,
,/tal-salwch-statudol-arweiniad-i-gyflogwyr/hawl,,,,no,,Hawl,Right,
,/talu-yswiriant-gwladol-dosbarth-2/trosolwg,,,,no,,Trosolwg,overview,
,/cofrestru-ar-gyfer-taw/sut-i-gofrestru-ar-gyfer-taw,,,,no,,Sut i gofrestru ar gyfer TAW,How to register for VAT,
,/credyd-cynhwysol/cael-taliad-ymlaen-taliad-cyntaf,,,,no,,Cael taliad ymlaen llaw ar eich taliad cyntaf,Get advance payment on your first payment,
,/ffurflenni-treth-hunanasesiad/cosbau,,,,no,,Cosbau,Penalty,
,/llyfr-log-cerbyd/cael-llyfr-log-dyblyg,,,,no,,Cael llyfr log dyblyg,Have a duplicate log book,
,/dweud-wrth-dvla-am-brofedigaeth/trosolwg,,,,no,,Beth sydd angen ichi ei wneud,What do you need to do,
,/rhoi-gwybod-i-cthem-newid-manylion/newid-rhywedd,,,,no,,Newid rhywedd,Gender change,
,/twe-ar-lein/ymrestru-os-nad-ydych-wedi-cofrestru-arlein,,,,no,,Ymrestru os nad ydych wedi cofrestru ar-lein,Enrolling if you are not registered online,
,/ad-daliad-dirprwyaeth/ar-ol-i-chi-hawlio,,,,no,,Ar ôl i chi hawlio,After you claim,
,/cofrestru-ar-gyfer-taw/gwerthu-neu-symud-nwyddau-rhwng-gogledd-iwerddon-ar-ue,,,,no,,Gwerthu neu symud nwyddau rhwng Gogledd Iwerddon a’r UE,Sell ​​or move goods between Northern Ireland and the EU,
,/oedi-pensiwn-wladwriaeth/os-ydych-yn-symud-dramor,,,,no,,Os ydych yn symud dramor,If you move abroad,
,/credyd-cynhwysol/sut-mae-eich-enillion-yn-effeithio-eich-taliadau,,,,no,,Sut mae eich enillion yn effeithio eich taliadau,How your earnings affect your payments,
,/absenoldeb-a-thal-ar-y-cyd-i-rieni-canllaw-i-gyflogwyr/blociau-o-wyliau,,,,no,,Blociau o wyliau,Blocks of holiday,
,/yswiriant-gwladol/faint-rydych-chin-talu,,,,no,,Faint rydych yn ei dalu,How much you pay,
,/tal-absenoldeb-tadolaeth/tal,,,,no,,Tâl,Charge,
,/ffurflenni-treth-hunanasesiad/trosolwg,,,,no,,Trosolwg,overview,
,/cael-help-cthem-cymorth-ychwanegol/os-oes-angen-help-arnoch-i-lenwi-ffurflenni,,,,no,,Os oes angen help arnoch i lenwi ffurflenni,If you need help filling in forms,
,/talu-taw/a-cherdyn-debyd-neu-gerdyn-credyd-corfforaethol-arlein,,,,no,,Â cherdyn debyd neu gerdyn credyd corfforaethol ar-lein,Have a debit card or corporate credit card online,
,/cymorth-ar-gyfer-llog-morgais/addaluch-benthyciad,,,,no,,Ad-dalu'ch benthyciad,Refund your loan,
,/lwfans-cyflogaeth-a-chymorth/trosolwg,,,,no,,Trosolwg,overview,
,/budd-dal-anabledd-anafiadau-diwydiannol/cymhwysedd,,,,no,,Cymhwysedd,Competence,
,/cael-help-cynilion-incwm-isel/yr-hyn-y-byddwch-yn-ei-gael,,,,no,,Yr hyn y byddwch yn ei gael,What you get,
,/anawsterau-talu-cthem/faint-y-byddwch-yn-ei-dalu,,,,no,,Faint y byddwch yn ei dalu,How much you will pay,
