query,link,score
universal credit,/sign-in-universal-credit,3
universal credit,/how-to-claim-universal-credit,1
universal credit,/health-conditions-disability-universal-credit,1
universal credit,/guidance/tax-credits-and-some-benefits-are-ending-move-to-universal-credit,1
universal credit,/government/collections/universal-credit-detailed-information-for-claimants,1
universal credit,/guidance/universal-credit-and-students,1
universal credit,/housing-and-universal-credit,1
universal credit,/guidance/universal-credit-and-earnings,1
universal credit,/self-employment-and-universal-credit,1
universal credit,/guidance/apply-for-universal-credit-and-other-benefits-homes-for-ukraine,1
universal credit,/benefits-calculators,1
universal credit,/government/publications/universal-credit-and-you/draft-uc-and-you,1
universal credit,/guidance/find-out-about-money-taken-off-your-universal-credit-payment,1
childcare account,/sign-in-childcare-account,3
childcare account,/guidance/sign-in-to-your-childcare-provider-account-for-tax-free-childcare,1
childcare account,/get-tax-free-childcare,1
childcare account,/check-eligible-free-childcare-if-youre-working,1
childcare account,/tax-free-childcare,1
childcare account,/apply-free-childcare-if-youre-working,1
childcare account,/hmrc-internal-manuals/tax-free-childcare-technical-manual/tfc30400,1
childcare account,/get-free-childcare-if-youre-working,1
car tax,/vehicle-tax,3
car tax,/check-vehicle-tax,3
car tax,/vehicle-tax-rate-tables,2
car tax,/vehicle-tax-refund,1
car tax,/vehicle-tax-direct-debit,1
car tax,/tax-vehicle-without-v11-reminder,1
car tax,/get-vehicle-tax-exemption-disability,1
car tax,/government/publications/rates-of-vehicle-tax-v149,1
car tax,/change-vehicle-tax-class,1
car tax,/sold-bought-vehicle,1
car tax,/check-tax-rates-new-unregistered-cars,1
car tax,/make-a-sorn,1
car tax,/vehicle-exempt-from-vehicle-tax,1
car tax,/driver-vehicles-account,1
car tax,/guidance/vehicle-tax-for-electric-and-low-emissions-vehicles,1
child benefit,/child-benefit,3
child benefit,/child-benefit-16-19,2
child benefit,/report-changes-child-benefit,2
child benefit,/government/collections/child-benefit-detailed-information,1
child benefit,/government/organisations/hm-revenue-customs/contact/child-benefit,1
child benefit,/child-benefit-payment-dates,1
child benefit,/browse/births-deaths-marriages/child,1
child benefit,/child-benefit-proof,1
child benefit,/child-benefit-tax-charge,1
child benefit,/government/publications/child-benefit-child-continuing-in-approved-education-or-training-ch297,1
child benefit,/government/publications/child-benefit-general-enquiry,1
child benefit,/child-benefit-tax-calculator,1
child benefit,/child-tax-credit,1
child benefit,/child-benefit-child-lives-with-someone-else,1
child benefit,/child-benefit-move-to-uk,1
child benefit,/government/publications/claim-child-benefit-if-you-cannot-claim-online,1
child benefit,/child-benefit-abroad,1
child benefit,/government/publications/child-benefit-change-of-family-circumstances,1
visa,/apply-to-come-to-the-uk,3
visa,/standard-visitor,2
visa,/check-uk-visa,2
visa,/student-visa,2
visa,/government/organisations/uk-visas-and-immigration,2
visa,/skilled-worker-visa,2
visa,/sign-in-visa,1
visa,/guidance/visa-processing-times-applications-outside-the-uk,1
visa,/find-a-visa-application-centre,1
visa,/uk-family-visa,1
visa,/transit-visa,1
visa,/visa-fees,1
visa,/update-uk-visas-immigration-account-details,1
visa,/view-prove-immigration-status,1
visa,/faster-decision-visa-settlement,1
visa,/youth-mobility,1
visa,/health-care-worker-visa,1
visa,/graduate-visa,1
visa,/government-authorised-exchange,1
right to work,/prove-right-to-work,3
right to work,/check-job-applicant-right-to-work,2
right to work,/view-right-to-work,2
right to work,/government/collections/right-to-work-checks-employer-guidance,2
right to work,/government/publications/right-to-work-checklist,1
right to work,/view-prove-immigration-status,1
right to work,/guidance/prove-your-right-to-work-eu-eea-and-swiss-citizens,1
right to work,/legal-right-work-uk,1
right to work,/government/publications/right-to-work-checks-employers-guide,1
right to work,/guidance/right-to-work-checks-employing-eu-eea-and-swiss-citizens,1
right to work,/government/publications/right-to-work-checks-employers-guide/employers-guide-to-right-to-work-checks-21-june-2024-accessible-version,1
personal tax account,/personal-tax-account,3
personal tax account,/log-in-register-hmrc-online-services,2
personal tax account,/check-income-tax-current-year,1
personal tax account,/tax-codes,1
personal tax account,/tell-hmrc-change-of-details,1
personal tax account,/find-national-insurance-number,1
personal tax account,/self-assessment-tax-returns,1
personal tax account,/guidance/download-the-hmrc-app,1
personal tax account,/tell-hmrc-change-address,1
personal tax account,/check-income-tax-last-year,1
personal tax account,/check-national-insurance-record,1
personal tax account,/government/publications/your-tax-account,1
apprenticeship,/apply-apprenticeship,3
apprenticeship,/become-apprentice,2
apprenticeship,/sign-in-apprenticeship-service-account,1
apprenticeship,/guidance/how-to-take-on-an-apprentice,1
apprenticeship,/guidance/manage-apprenticeship-funds,1
apprenticeship,/employing-an-apprentice,1
apprenticeship,/guidance/apprenticeship-funding-rules,1
apprenticeship,/employers-find-apprenticeship-training,1
apprenticeship,/national-minimum-wage-rates,1
apprenticeship,/guidance/apprenticeship-opportunities-in-the-ministry-of-defence,1
driving test,/book-driving-test,3
driving test,/change-driving-test,2
driving test,/driving-test,2
driving test,/check-driving-test,2
driving test,/book-pupil-driving-test,1
driving test,/book-theory-test,1
driving test,/theory-test,1
driving test,/guidance/understanding-your-driving-test-result/car-driving-test,1
driving test,/browse/driving/learning-to-drive,1
driving test,/guidance/book-and-manage-your-driving-test-problems-accessing-the-service,1
driving test,/cancel-driving-test,1
driving test,/find-driving-test-centre,1
driving test,/driving-test-cost,1
passport,/renew-adult-passport,3
passport,/apply-first-adult-passport,2
passport,/get-a-child-passport,2
passport,/apply-renew-passport,2
passport,/get-a-passport-urgently,2
passport,/track-passport-application,2
passport,/browse/abroad/passports,2
passport,/passport-advice-line,1
passport,/overseas-passports,1
passport,/changing-passport-information,1
passport,/browse/abroad,1
passport,/photos-for-passports,1
passport,/report-a-lost-or-stolen-passport,1
passport,/confirm-identity-online-for-passport-application,1
passport,/government/organisations/hm-passport-office,1
passport,/how-the-post-office-check-and-send-service-works,1
passport,/passport-fees,1
passport,/government/organisations/hm-passport-office/about/about-our-services,1
passport,/government/collections/passports,1
passport,/government/publications/basic-passport-checks/basic-passport-checks-accessible,1
ukvi,/government/organisations/uk-visas-and-immigration,3
ukvi,/guidance/using-your-uk-visas-and-immigration-account,2
ukvi,/update-uk-visas-immigration-account-details,2
ukvi,/guidance/online-immigration-status-evisa,2
ukvi,/government/publications/online-immigration-status-evisa-help-video/how-to-create-a-ukvi-account-and-access-your-evisa,2
ukvi,/get-access-evisa,2
ukvi,/contact-ukvi-inside-outside-uk,1
ukvi,/view-prove-immigration-status,1
ukvi,/government/publications/ukvi-account-terms-and-conditions,1
ukvi,/government/publications/ukvi-account-terms-and-conditions/ukvi-account-terms-and-conditions,1
ukvi,/sign-in-visa,1
pension,/new-state-pension,3
pension,/check-state-pension,2
pension,/personal-pensions-your-rights,2
pension,/workplace-pensions,2
pension,/state-pension-age,2
pension,/contact-pension-service,1
pension,/state-pension,1
pension,/plan-retirement-income,1
pension,/find-pension-contact-details,1
pension,/international-pension-centre,1
pension,/pension-types,1
pension,/tax-on-pension,1
pension,/pension-credit,1
pension,/pension-credit-calculator,1
pension,/state-pension-if-you-retire-abroad,1
pension,/get-state-pension,1
pension,/government/organisations/department-for-work-pensions,1
pension,/additional-state-pension,1
pension,/working-retirement-pension-age,1
pension,/check-national-insurance-record,1
brp,/biometric-residence-permits,3
brp,/guidance/online-immigration-status-evisa,2
brp,/change-circumstances-visa-brp,2
brp,/get-access-evisa,2
brp,/uk-residence-card,1
brp,/government/publications/brp-requirements-and-replacement-procedures/brp-requirements-and-replacement-procedures,1
brp,/government/publications/biometric-information/biometric-information-introduction-accessible,1
brp,/guidance/indefinite-leave-to-remain-in-the-uk,1
brp,/government/publications/biometric-residence-permits-applicant-and-sponsor-information/biometric-residence-permits-general-information-for-applicants-employers-and-sponsors-accessible-version,1
brp,/government/publications/biometric-residence-permits-overseas-applicant-and-sponsor-information,1
brp,/prove-right-to-work,1
brp,/guidance/using-your-uk-visas-and-immigration-account,1
brp,/government/publications/business-reference-panel/brp-terms-of-reference,1
brp,/government/publications/biometric-residence-permits-applicant-and-sponsor-information,1
jobs,/find-a-job,3
jobs,/browse/working/finding-job,2
jobs,/guidance/free-courses-for-jobs,2
jobs,/guidance/using-the-civil-service-jobs-website,2
jobs,/skilled-worker-visa,1
jobs,/find-teaching-job,1
jobs,/browse/working,1
jobs,/contact-jobcentre-plus,1
jobs,/government/collections/plan-for-jobs-skills-employment-and-support-programmes-for-jobseekers,1
jobs,/government/publications/applying-for-health-and-social-care-jobs-in-the-uk-from-abroad,1
jobs,/advertise-job,1
jobs,/government/collections/the-future-of-jobs-and-skills,1
jobs,/research-for-development-outputs/jobs-in-kenya-opportunities-and-challenges,1
jobs,/guidance/government-geography-profession-jobs,1
sign in,/log-in-register-hmrc-online-services,3
sign in,/sign-in-visa,2
sign in,/sign-in,2
sign in,/using-your-gov-uk-one-login,2
sign in,/sign-in-universal-credit,1
sign in,/guidance/using-your-uk-visas-and-immigration-account,1
sign in,/sign-in-childcare-account,1
sign in,/view-prove-immigration-status,1
sign in,/guidance/changing-the-sign-in-details-for-your-govuk-one-login,1
sign in,/driver-vehicles-account,1
sign in,/personal-tax-account,1
sign in,/student-finance-register-login,1
vehicle tax,/vehicle-tax,3
vehicle tax,/check-vehicle-tax,2
vehicle tax,/vehicle-tax-direct-debit,2
vehicle tax,/vehicle-tax-rate-tables,1
vehicle tax,/vehicle-tax-refund,1
vehicle tax,/make-a-sorn,1
vehicle tax,/tax-vehicle-without-v11-reminder,1
vehicle tax,/vehicle-exempt-from-vehicle-tax,1
vehicle tax,/government/publications/rates-of-vehicle-tax-v149,1
vehicle tax,/guidance/vehicle-tax-for-electric-and-low-emissions-vehicles,1
vehicle tax,/sold-bought-vehicle,1
vehicle tax,/contact-the-dvla,1
vehicle tax,/get-vehicle-tax-exemption-disability,1
vehicle tax,/get-vehicle-information-from-dvla,1
childcare,/sign-in-childcare-account,3
childcare,/help-with-childcare-costs,2
childcare,/check-eligible-free-childcare-if-youre-working,1
childcare,/apply-free-childcare-if-youre-working,1
childcare,/tax-free-childcare,1
childcare,/browse/childcare-parenting/childcare,1
childcare,/browse/childcare-parenting,1
childcare,/get-free-childcare-if-youre-working,1
childcare,/get-tax-free-childcare,1
childcare,/get-childcare,1
childcare,/guidance/universal-credit-childcare-costs,1
childcare,/find-free-early-education,1
childcare,/childcare-calculator,1
dbs,/request-copy-criminal-record,3
dbs,/guidance/track-a-dbs-application,2
dbs,/government/collections/dbs-checking-service-guidance--2,2
dbs,/government/organisations/disclosure-and-barring-service,2
dbs,/dbs-check-applicant-criminal-record,2
dbs,/dbs-update-service,2
dbs,/government/publications/dbs-application-forms-guide-for-applicants,2
dbs,/guidance/digital-and-online-services,1
dbs,/guidance/basic-dbs-checks-guidance,1
dbs,/find-out-dbs-check,1
dbs,/guidance/dbs-check-requests-guidance-for-employers,1
dbs,/guidance/criminal-record-checks-for-childminders-and-childcare-workers,1
dbs,/guidance/dbs-online-account-guidance,1
dbs,/criminal-record-checks-apply-role,1
dbs,/government/collections/dbs-update-service-promotional-material,1
dbs,/find-dbs-umbrella-body,1
pip,/pip,3
pip,/government/collections/personal-independence-payment-statistics,1
pip,/government/publications/personal-independence-payment-changes,1
pip,/government/publications/personal-independence-payment-fact-sheets/pip-handbook,1
pip,/government/publications/personal-independence-payment-assessment-guide-for-assessment-providers/pip-assessment-guide-part-1-the-assessment-process,1
pip,/government/publications/personal-independence-payment-fact-sheets,1
pip,/government/publications/about-pip-what-it-is-and-how-to-claim-it-easy-read-guide,1
pip,/government/collections/example-forms-and-letters-for-claiming-personal-independence-payment-pip,1
pip,/guidance/apply-for-your-pip-claim-to-be-looked-at-if-your-mobility-award-was-not-increased-because-you-reached-state-pension-age,1
pip,/financial-help-disabled,1
pip,/dla-disability-living-allowance-benefit,1
pip,/disability-benefits-helpline,1
pip,/government/publications/personal-independence-payment-assessment-guide-for-assessment-providers,1
pip,/government/publications/personal-independence-payment-pip-assessments-first-independent-review,1
pip,/government/publications/personal-independence-payment-assessment-guide-for-assessment-providers/pip-assessment-guide-part-2-the-assessment-criteria,1
pip,/government/collections/pip-administrative-exercise-progress-on-cases-cleared,1
pip,/disability-living-allowance-children,1
pension credit,/pension-credit,3
pension credit,/pension-credit-calculator,2
pension credit,/government/publications/pension-credit-claim-form--2,2
pension credit,/government/publications/pension-credit,1
pension credit,/government/publications/pension-credit-toolkit/pension-credit-and-help-for-disabled-people,1
pension credit,/government/publications/pension-credit-technical-guidance/a-detailed-guide-to-pension-credit-for-advisers-and-others,1
pension credit,/contact-pension-service,1
pension credit,/government/publications/pension-credit-technical-guidance,1
pension credit,/government/publications/pension-credit-toolkit,1
pension credit,/state-pension-age,1
pension credit,/government/news/pension-credit-what-you-need-to-know--2,1
pension credit,/government/news/you-could-get-pension-credit-week-of-action-to-drive-take-up,1
pension credit,/government/news/pension-credit-awareness-drive-as-thousands-of-eligible-pensioners-yet-to-claim--2,1
pension credit,/government/publications/pension-credit/pension-credit-extra-information,1
pension credit,/government/publications/easy-read-pension-credit,1
pension credit,/government/publications/pension-credit-toolkit/pension-credit-toolkit-advice-and-guidance-for-stakeholders,1
pension credit,/carers-allowance,1
pension credit,/housing-benefit,1
theory test,/book-theory-test,3
theory test,/theory-test,3
theory test,/change-theory-test,2
theory test,/check-theory-test,2
theory test,/take-practice-theory-test,1
theory test,/motorcycle-theory-test,1
theory test,/find-theory-test-centre,1
theory test,/book-pupil-theory-test,1
theory test,/find-theory-test-pass-number,1
theory test,/cancel-theory-test,1
self assessment,/self-assessment-tax-returns,3
self assessment,/log-in-file-self-assessment-tax-return,2
self assessment,/browse/tax/self-assessment,2
self assessment,/pay-self-assessment-tax-bill,2
self assessment,/register-for-self-assessment,2
self assessment,/log-in-register-hmrc-online-services,1
self assessment,/government/collections/self-assessment-detailed-information,1
self assessment,/check-if-you-need-tax-return,1
self assessment,/guidance/help-online-for-self-assessment,1
self assessment,/guidance/register-for-self-assessment-if-you-are-not-self-employed,1
self assessment,/government/organisations/hm-revenue-customs/contact/self-assessment,1
self assessment,/self-assessment-tax-return-forms,1
self assessment,/understand-self-assessment-bill,1
self assessment,/personal-tax-account,1
self assessment,/guidance/check-when-to-appeal-a-self-assessment-penalty-for-late-filing-or-late-payment,1
self assessment,/pay-self-assessment-penalty,1
self assessment,/government/publications/framework-generic-guidance-provider-guidance/chapter-7-self-assessment,1
self assessment,/government/collections/self-assessment-helpsheets-main-self-assessment-tax-return,1
student finance,/student-finance,3
student finance,/student-finance-register-login,3
student finance,/apply-for-student-finance,2
student finance,/support-child-or-partners-student-finance-application,1
student finance,/apply-online-for-student-finance,1
student finance,/sign-in-to-manage-your-student-loan-balance,1
student finance,/browse/education/student-finance,1
student finance,/student-finance-forms,1
student finance,/get-undergraduate-student-loan,1
student finance,/student-finance-calculator,1
student finance,/government/publications/support-your-child-or-partners-student-finance-application-2024-to-2025,1
student finance,/contact-student-finance-england,1
student finance,/repaying-your-student-loan,1
online immigration status,/guidance/online-immigration-status-evisa,3
online immigration status,/get-access-evisa,2
online immigration status,/view-prove-immigration-status,2
online immigration status,/update-uk-visas-immigration-account-details,1
online immigration status,/guidance/using-your-uk-visas-and-immigration-account,1
online immigration status,/government/publications/online-immigration-status-evisa-help-video,1
online immigration status,/biometric-residence-permits,1
online immigration status,/guidance/living-in-the-uk-applying-from-within-the-uk,1
online immigration status,/check-immigration-status,1
dvla,/government/organisations/driver-and-vehicle-licensing-agency,3
dvla,/get-vehicle-information-from-dvla,2
dvla,/contact-the-dvla,2
dvla,/tell-dvla-changed-address,2
dvla,/driver-vehicles-account,2
dvla,/sold-bought-vehicle,2
dvla,/apply-first-provisional-driving-licence,2
dvla,/change-address-v5c,2
dvla,/view-driving-licence,1
dvla,/driving-medical-conditions,1
dvla,/renew-driving-licence,1
dvla,/vehicle-tax,1
dvla,/guidance/dvla-services-update,1
dvla,/apply-online-to-replace-a-driving-licence,1
dvla,/change-address-driving-licence,1
dvla,/buy-a-personalised-registration-number,1
dvla,/written-off-vehicle,1
dvla,/personalised-vehicle-registration-numbers,1
dvla,/dvlaforms,1
dvla,/tell-dvla-about-bereavement,1
gmr,/guidance/get-a-goods-movement-reference,3
gmr,/guidance/register-for-the-goods-vehicle-movement-service,2
gmr,/guidance/check-if-a-goods-movement-reference-is-valid,1
gmr,/guidance/check-how-to-move-goods-through-ports-that-use-the-goods-vehicle-movement-service,1
gmr,/guidance/goods-vehicle-movement-service-service-availability-and-issues,1
gmr,/guidance/transporting-goods-between-great-britain-and-the-eu-by-roro-freight-guidance-for-hauliers,1
login,/using-your-gov-uk-one-login,3
login,/log-in-register-hmrc-online-services,2
login,/government/collections/defence-and-security-accelerator-submit-your-research-proposal,2
login,/sign-in,2
login,/sign-in-visa,1
login,/guidance/use-govuk-one-login,1
login,/student-finance-register-login,1
login,/sign-in-universal-credit,1
login,/guidance/changing-the-sign-in-details-for-your-govuk-one-login,1
login,https://home.account.gov.uk/contact-gov-uk-one-login,1
state pension,/new-state-pension,3
state pension,/check-state-pension,2
state pension,/state-pension,2
state pension,/contact-pension-service,2
state pension,/state-pension-age,2
state pension,/get-state-pension,2
state pension,/browse/working/state-pension,1
state pension,/government/publications/your-new-state-pension-explained/your-state-pension-explained,1
state pension,/check-national-insurance-record,1
state pension,/additional-state-pension,1
state pension,/state-pension-if-you-retire-abroad,1
state pension,/contracted-out,1
state pension,/state-pension-through-partner,1
state pension,/deferring-state-pension,1
state pension,/government/publications/your-new-state-pension-explained,1
state pension,/government/collections/state-pension-toolkit,1
state pension,/working-retirement-pension-age,1
state pension,/government/organisations/department-for-work-pensions,1
state pension,/international-pension-centre,1
state pension,/government/collections/state-pension-underpayments-progress-on-cases,1
state pension,/government/publications/the-basic-state-pension,1
state pension,/government/publications/application-for-a-state-pension-statement,1
update your account,/update-uk-visas-immigration-account-details,3
update your account,/guidance/using-your-uk-visas-and-immigration-account,2
update your account,/change-circumstances-visa-brp,1
update your account,/guidance/online-immigration-status-evisa,1
update,/update-uk-visas-immigration-account-details,3
update,/view-prove-immigration-status,1
update,/guidance/digital-and-online-services,1
companies house,/government/organisations/companies-house,3
companies house,/guidance/search-the-companies-house-register,2
companies house,/file-your-confirmation-statement-with-companies-house,1
companies house,/file-changes-to-a-company-with-companies-house,1
companies house,/get-information-about-a-company,1
companies house,/file-your-company-annual-accounts,1
companies house,/contact-companies-house,1
companies house,/limited-company-formation,1
companies house,/government/collections/companies-house-guidance-for-limited-companies-partnerships-and-other-company-types,1
companies house,/closing-a-limited-company,1
companies house,/government/organisations/companies-house/about/about-our-services,1
companies house,/guidance/filing-your-companies-house-information-online,1
companies house,/guidance/your-personal-information-on-the-public-record-at-companies-house,1
student visa,/student-visa,3
student visa,/study-uk-student-visa,2
student visa,/child-study-visa,1
student visa,/browse/visas-immigration/student-visas,1
student visa,/graduate-visa,1
student visa,/apply-to-come-to-the-uk,1
student visa,/guidance/financial-evidence-for-student-and-child-student-route-applicants,1
student visa,/visa-to-study-english,1
student visa,/check-uk-visa,1
student visa,/guidance/visa-processing-times-applications-outside-the-uk,1
student visa,/government/publications/points-based-system-student-route,1
student visa,/government/publications/student-visa-views-of-students-and-higher-education-institutions/student-visa-views-of-students-and-higher-education-institutions,1
student visa,/healthcare-immigration-application,1
ukvi account,/update-uk-visas-immigration-account-details,3
ukvi account,/guidance/using-your-uk-visas-and-immigration-account,2
ukvi account,/guidance/online-immigration-status-evisa,2
ukvi account,/get-access-evisa,2
ukvi account,/government/publications/online-immigration-status-evisa-help-video/how-to-create-a-ukvi-account-and-access-your-evisa,2
ukvi account,/government/publications/ukvi-account-terms-and-conditions/ukvi-account-terms-and-conditions,2
ukvi account,/view-prove-immigration-status,1
ukvi account,/sign-in-visa,1
ukvi account,/government/publications/ukvi-account-terms-and-conditions,1
ukvi account,/government/organisations/uk-visas-and-immigration,1
ukvi account,/contact-ukvi-inside-outside-uk,1
ukvi account,/guidance/using-the-uk-immigration-id-check-app,1
ukvi account,/prove-right-to-work,1
road tax,/vehicle-tax,3
road tax,/check-vehicle-tax,2
road tax,/vehicle-tax-direct-debit,2
road tax,/vehicle-tax-rate-tables,2
road tax,/browse/driving/vehicle-tax-mot-insurance,1
road tax,/vehicle-tax-refund,1
road tax,/tax-vehicle-without-v11-reminder,1
road tax,/government/publications/rates-of-vehicle-tax-v149,1
road tax,/make-a-sorn,1
road tax,/vehicle-exempt-from-vehicle-tax,1
road tax,/sold-bought-vehicle,1
road tax,/check-tax-rates-new-unregistered-cars,1
road tax,/get-vehicle-tax-exemption-disability,1
road tax,/guidance/vehicle-tax-for-electric-and-low-emissions-vehicles,1
road tax,/contact-the-dvla,1
national insurance,/national-insurance,3
national insurance,/check-national-insurance-record,3
national insurance,/apply-national-insurance-number,2
national insurance,/find-national-insurance-number,2
national insurance,/voluntary-national-insurance-contributions,1
national insurance,/government/collections/national-insurance-detailed-information,1
national insurance,/guidance/get-your-national-insurance-number-by-post,1
national insurance,/national-insurance-rates-letters,1
national insurance,/browse/tax/national-insurance,1
national insurance,/government/organisations/hm-revenue-customs/contact/national-insurance-enquiries-for-employees-and-individuals,1
national insurance,/national-insurance-credits,1
national insurance,/claim-national-insurance-refund,1
national insurance,/tax-national-insurance-after-state-pension-age,1
national insurance,/guidance/download-the-hmrc-app,1
national insurance,/self-employed-national-insurance-rates,1
national insurance,/guidance/apply-to-pay-voluntary-national-insurance-contributions-when-abroad-cf83,1
national insurance,/national-insurance-if-you-go-abroad,1
national insurance,/pay-voluntary-class-3-national-insurance,1
national insurance,/guidance/work-out-an-employees-national-insurance-contributions,1
national insurance,/pay-class-2-national-insurance,1
apprenticeships,/apply-apprenticeship,3
apprenticeships,/become-apprentice,2
apprenticeships,/sign-in-apprenticeship-service-account,1
apprenticeships,/guidance/how-to-take-on-an-apprentice,1
apprenticeships,/guidance/manage-apprenticeship-funds,1
apprenticeships,/government/publications/higher-and-degree-apprenticeships,1
apprenticeships,/guidance/apprenticeship-funding-rules,1
apprenticeships,/employers-find-apprenticeship-training,1
apprenticeships,/employing-an-apprentice,1
apprenticeships,/guidance/apprenticeship-opportunities-in-the-ministry-of-defence,1
attendance allowance,/attendance-allowance,3
attendance allowance,/government/publications/attendance-allowance-claim-form,2
attendance allowance,/government/publications/easy-read-attendance-allowance,2
attendance allowance,/constant-attendance-allowance,2
attendance allowance,/government/publications/dwp-longitudinal-study-and-the-main-disabling-conditions-for-aa-and-dla/attendance-allowance-main-disabling-condition,1
attendance allowance,/carers-allowance,1
attendance allowance,/financial-help-disabled,1
attendance allowance,/dla-disability-living-allowance-benefit,1
attendance allowance,/government/collections/attendance-allowance-unit-and-disability-living-allowance-performance-information,1
attendance allowance,/how-to-have-your-benefits-paid,1
attendance allowance,/benefits-end-of-life,1
attendance allowance,/pip,1
attendance allowance,/pension-credit,1
attendance allowance,/government/statistics/disability-living-allowance-and-attendance-allowance,1
attendance allowance,/government/publications/attendance-allowance-in-scotland-agency-agreement,1
log in,/log-in-register-hmrc-online-services,3
log in,/using-your-gov-uk-one-login,3
log in,/sign-in-visa,2
log in,/sign-in,1
log in,/government/collections/defence-and-security-accelerator-submit-your-research-proposal,1
log in,/sign-in-universal-credit,1
log in,/view-prove-immigration-status,1
log in,/driver-vehicles-account,1
log in,/sign-in-childcare-account,1
log in,/guidance/use-govuk-one-login,1
log in,/student-finance-register-login,1
log in,/log-in-file-self-assessment-tax-return,1
log in,/guidance/accessing-hmrc-online-services-using-govuk-one-login,1
log in,/personal-tax-account,1
sharecode,/view-prove-immigration-status,3
sharecode,/prove-right-to-work,3
sharecode,/view-right-to-work,2
sharecode,/check-immigration-status,2
sharecode,/prove-right-to-rent,1
sharecode,/check-job-applicant-right-to-work,1
sharecode,/guidance/using-your-uk-visas-and-immigration-account,1
sharecode,/view-right-to-rent,1
sharecode,/guidance/online-immigration-status-evisa,1
sharecode,/id-for-driving-licence,1
