query,link,score,select_item_event
company dissolution,/government/publications/company-strike-off-dissolution-and-restoration,2,14
childminder grant,/government/publications/early-education-entitlements-and-funding,2,14
the care act,/government/publications/care-act-statutory-guidance,2,14
access arrangements,/government/publications/key-stage-2-tests-access-arrangements,2,14
support for a child conceived without your consent,/government/publications/support-for-a-child-conceived-without-your-consent,2,14
economic crime levy,/government/publications/economic-crime-levy,2,14
limited leave to remain,/government/publications/apply-to-extend-your-stay-in-the-uk-form-flrfp,2,14
discretionary trust,/government/publications/nil-rate-band-discretionary-trusts,2,14
[postcode],/government/publications/new-dwp-postal-addresses,2,14
contracts finder,/government/publications/ppn-0123-requirements-to-publish-on-contracts-finder,2,14
satisfy a charge,/government/publications/register-a-statement-of-satisfaction-mr04,2,14
stay in uk,/government/publications/apply-to-extend-your-stay-in-the-uk-form-flrfp,2,14
id checker,/government/publications/dbs-identity-checking-guidelines,2,14
lr,/government/publications/application-to-extend-stay-in-uk-long-residence-form-flrlr,2,14
form flr (m),/government/publications/apply-to-extend-stay-in-the-uk-as-a-partner-or-dependent-child-form-flrm,2,14
self employed tax return,/government/publications/self-assessment-self-employment-short-sa103s,2,14
request immigration data,/government/publications/requests-for-personal-data-uk-visas-and-immigration,2,14
landlord universal credit,/government/publications/universal-credit-and-rented-housing--2,2,14
permitted development rights,/government/publications/permitted-development-rights-for-householders-technical-guidance,2,14
gcse results,/government/publications/infographic-gcse-results-2022,2,14
maude,/government/publications/review-of-governance-and-accountability,2,14
wca,/government/publications/universal-credit-wca-statistics-background-information,2,14
power of attorney health,/government/publications/make-a-lasting-power-of-attorney,2,14
food voucher,/government/publications/household-support-fund-guidance-for-local-councils,2,14
stamp duty land tax calculator,/government/publications/stamp-duty-land-tax-calculator-service-availability-and-issues,2,14
show and tell me questions,/government/publications/car-show-me-tell-me-vehicle-safety-questions,2,14
covid statistics,/government/publications/nhs-covid-19-app-statistics,2,14
trust registration,/government/publications/register-a-trust-or-estate-service-availability-and-issues,2,14
find an adi,/government/publications/approved-driving-instructor-adi-standards-check-indicators-and-triggers,2,14
household support funds,/government/publications/household-support-fund-guidance-for-local-councils,2,14
fuel scale charge,/government/publications/vat-road-fuel-scale-charges-table,2,14
national ai strategy,/government/publications/national-ai-strategy,2,14
tuberculosis,/government/publications/tuberculosis-test-for-a-uk-visa-clinics-in-india,2,14
disability parking,/government/publications/blue-badge-can-i-get-one,2,14
probate application,/government/publications/myhmcts-how-to-apply-for-probate-online,2,14
pa12,/government/publications/register-a-lasting-power-of-attorney,2,14
self employed income and expenses,/government/publications/universal-credit-and-self-employment-quick-guide,2,14
childhood obesity,/government/publications/childhood-obesity-applying-all-our-health,2,14
hs290,/government/publications/business-asset-roll-over-relief-hs290-self-assessment-helpsheet,2,14
charity reserves,/government/publications/charities-and-reserves-cc19,2,14
plan for water,/government/publications/plan-for-water-our-integrated-plan-for-delivering-clean-and-plentiful-water,2,14
energy price cap,/government/publications/energy-bills-support,2,14
get eori,/government/publications/get-an-eori-number-service-availability-and-issues,2,14
civil business centre performance,/government/publications/hmcts-civil-business-centres-performance-information,2,14
armed forces,/government/publications/armed-forces-veterans-badge-application-form,2,14
autism,/government/publications/autism-self-assessment-framework-exercise,2,14
how to complete your tax return,/government/publications/self-assessment-tax-return-sa100,2,14
minister of religion,/government/publications/t2-minister-of-religion-caseworker-guidance,2,14
visa jobs,/government/publications/skilled-worker-visa-shortage-occupations,2,14
eligible occupation,/government/publications/skilled-worker-visa-eligible-occupations,2,14
skilled worker shortage occupation list,/government/publications/skilled-worker-visa-shortage-occupations,2,14
party wall act,/government/publications/preventing-and-resolving-disputes-in-relation-to-party-walls,2,14
kenya,/government/publications/uk-kenya-development-partnership-summary,2,14
pension 2024,/government/publications/benefit-and-pension-rates-2023-to-2024,2,14
mgn 477,/government/publications/mgn-477-m-maritime-labour-convention-2006-seafarers-employment-agreements,2,14
check rtw,/government/publications/right-to-work-checks-employers-guide,2,14
cdp,/government/publications/child-disability-payment-service-level-agreement,2,14
gl42,/government/publications/wild-birds-licence-to-kill-or-take-to-prevent-serious-damage-gl42,2,14
making every contact count,/government/publications/making-every-contact-count-mecc-practical-resources,2,14
blockchain,/government/publications/company-names-tribunal-decision-tradingview-blockchain-limited,2,14
bootcamps,/government/publications/esfa-skills-bootcamps,2,14
vetting,/government/publications/vetting-explained-and-our-vetting-charter,2,14
skilled workers list,/government/publications/skilled-worker-visa-shortage-occupations,2,14
visa exempt,/government/publications/exempt-exm,2,14
skilled worker visa guidance,/government/publications/skilled-worker-visa-caseworker-guidance,2,14
residence permit,/government/publications/biometric-residence-permits-overseas-applicant-and-sponsor-information,2,14
arc ,/government/publications/application-registration-card-arc,2,14
help with white goods,/government/publications/household-support-fund-guidance-for-local-councils,2,14
senco,/government/publications/mandatory-qualification-for-sencos,2,14
sms,/government/publications/manage-your-sponsorship-licence-sms-user-manual,2,14
title deeds,/government/publications/whole-of-registered-title-assent-as1,2,14
how to dissolve a company,/government/publications/company-strike-off-dissolution-and-restoration,2,14
mpaa,/government/publications/reducing-the-money-purchase-annual-allowance,2,14
cc36,/government/publications/changing-your-charitys-governing-document-cc36,2,14
spouse visa,/government/publications/application-to-extend-stay-in-the-uk-flrhro,2,14
dwp,/government/publications/dwp-leaflets-order-form,2,14
scarlet fever,/government/publications/group-a-streptococcal-infections-activity-during-the-2022-to-2023-season,2,14
dedicated schools grant 2023,/government/publications/dedicated-schools-grant-dsg-2023-to-2024,2,14
occupation,/government/publications/skilled-worker-visa-shortage-occupations,2,14
shortage of occupation,/government/publications/skilled-worker-visa-shortage-occupations,2,14
fed1012,/government/publications/endangered-species-application-for-commercial-use,2,14
brc,/government/publications/biometric-residence-permits-applicant-and-sponsor-information,2,14
boundaries,/government/publications/land-registry-plans-boundaries,2,14
rabies,/government/publications/rabies-risks-by-country,2,14
company limited by guarantee,/government/publications/model-articles-for-private-companies-limited-by-guarantee,2,14
incomplete immunisation schedule,/government/publications/vaccination-of-individuals-with-uncertain-or-incomplete-immunisation-status,2,14
asylum seekers,/government/publications/information-leaflet-for-asylum-applications,2,14
divorce fees,/government/publications/fees-in-the-civil-and-family-courts-main-fees-ex50,2,14
flr(fp) form,/government/publications/apply-to-extend-your-stay-in-the-uk-form-flrfp,2,14
sa105,/government/publications/self-assessment-tax-return-sa100,2,14
"request personal information held in the borders, immigration and citizenship system",/government/publications/personal-information-use-in-borders-immigration-and-citizenship,2,14
undefined cos,/government/publications/creating-and-assigning-a-cos-sms-guide-8,2,14
pension rates,/government/publications/rates-and-allowances-pension-schemes,2,14
public benefit,/government/publications/public-benefit-an-overview,2,14
ict visa,/government/publications/employer-and-employee-use-of-ict-visas-a-qualitative-study,2,14
family and private life,/government/publications/apply-to-extend-your-stay-in-the-uk-form-flrfp,2,14
matb1 form,/government/publications/dwp-medical-evidence-forms-how-to-order-them,2,14
brp error,/government/publications/biometric-residence-permits-overseas-applicant-and-sponsor-information,2,14
ppn,/government/publications/ppn-0823-using-standard-contacts,2,14
flr application,/government/publications/apply-to-extend-your-stay-in-the-uk-form-flrfp,2,14
party wall agreement,/government/publications/preventing-and-resolving-disputes-in-relation-to-party-walls,2,14
alcohol license,/government/publications/alcohol-licensing-fee-levels,2,14
electronic signatures,/government/publications/electronic-signatures-accepted-by-hm-land-registry-pg82,2,14
local land charges,/government/publications/local-land-charges-pg79,2,14
first aid in schools,/government/publications/first-aid-in-schools,2,14
covid swab,/government/publications/testing-for-coronavirus-at-home,2,14
presettled,/government/publications/eu-settlement-scheme-policy-equality-statement,2,14
10 years route,/government/publications/apply-to-extend-your-stay-in-the-uk-form-flrfp,2,14
partnership short,/government/publications/self-assessment-partnership-short-sa104s,2,14
let property campaign: your guide to making a disclosure,/government/publications/let-property-campaign-your-guide-to-making-a-disclosure,2,14
shared ownership,/government/publications/shared-ownership-rents-reform,2,14
section 114,/government/publications/local-authority-financial-sustainability-and-the-section-114-regime,2,14
supported internships,/government/publications/supported-internships-for-young-people-with-learning-difficulties,2,14
energy price guarantee regional rates,/government/publications/energy-price-guarantee-regional-rates,2,14
eif,/government/publications/education-inspection-framework,2,14
right of abode,/government/publications/right-of-abode-nationality-policy-guidance,2,14
in01 form,/government/publications/register-a-private-or-public-company-in01,2,14
sats,/government/publications/results-at-the-end-of-key-stage-2-information-for-parents,2,14
remittance basis,/government/publications/remittance-basis-hs264-self-assessment-helpsheet,2,14
dwp creditors handbook,/government/publications/how-the-deductions-from-benefit-scheme-works-a-handbook-for-creditors,2,14
soc codes,/government/publications/skilled-worker-visa-eligible-occupations,2,14
sa102 2019,/government/publications/self-assessment-employment-sa102,2,14
cc48,/government/publications/charities-and-meetings-cc48,2,14
overseas workday relief,/government/publications/rdr4-overseas-workday-relief-owr,2,14
skilled worker visa shortage occupations,/government/publications/skilled-worker-visa-shortage-occupations,2,14
applying for dbs,/government/publications/dbs-application-forms-guide-for-applicants,2,14
government security classifications,/government/publications/government-security-classifications,2,14
overseas criminal record,/government/publications/criminal-records-checks-for-overseas-applicants,2,14
overseas criminal check,/government/publications/criminal-records-checks-for-overseas-applicants,2,14
tree health pilot,/government/publications/tree-health-pilot-scheme-2023,2,14
cervical cancer,/government/publications/be-clear-on-cancer-first-national-cervical-screening-saves-lives-campaign,2,14
chargeable event certificate,/government/publications/life-insurance-chargeable-events-certificates,2,14
delegated examiners,/government/publications/guide-to-delegated-driving-examiner-test-notifications,2,14
hs220,/government/publications/more-than-one-business-hs220-self-assessment-helpsheet,2,14
lpa health,/government/publications/make-a-lasting-power-of-attorney,2,14
dbs id checking guidelines,/government/publications/dbs-identity-checking-guidelines,2,14
child trust funds,/government/publications/maturing-child-trust-funds,2,14
striking off,/government/publications/company-strike-off-dissolution-and-restoration,2,13
statutory notice pay,/government/publications/claim-for-loss-of-notice-factsheet-rp2,2,13
running a blue badge,/government/publications/the-blue-badge-scheme-local-authority-guidance-england,2,13
stamp duty calculator ,/government/publications/stamp-duty-land-tax-calculator-service-availability-and-issues,2,13
minimum wage rate,/government/publications/minimum-wage-rates-for-2023,2,13
countryside stewardship payment rates,/government/publications/revenue-payment-rates-from-january-2023-countryside-stewardship,2,13
uk reach,/government/publications/reviews-and-reports-on-uk-reach,2,13
hs343,/government/publications/accrued-income-scheme-hs343-self-assessment-helpsheet,2,13
universal credit self employment,/government/publications/universal-credit-and-self-employment-quick-guide,2,13
tetanus,/government/publications/tetanus-advice-for-health-professionals,2,13
in-house manufacture of medical devices,/government/publications/in-house-manufacture-of-medical-devices,2,13
gcse result,/government/publications/infographic-gcse-results-2023,2,13
ppps,/government/publications/professional-plant-protection-products-ppps-register-as-a-user,2,13
windrush compensation scheme forms,/government/publications/windrush-compensation-scheme-claim-forms-and-guidance,2,13
clean air zone,/government/publications/air-quality-clean-air-zone-framework-for-england,2,13
cptpp,/government/publications/cptpp-impact-assessment,2,13
opposition,/government/publications/trade-marks-standard-opposition,2,13
suicide,/government/publications/suicide-prevention-grant-fund-2023-to-2025,2,13
register of worker and temporary worker licensed sponsors,/government/publications/workers-and-temporary-workers-guidance-for-sponsors-part-2-sponsor-a-worker,2,13
rent code,/government/publications/right-to-rent-landlords-code-of-practice,2,13
irish,/government/publications/common-travel-area-guidance,2,13
plastic tax,/government/publications/plastic-packaging-tax,2,13
ppn 02/23,/government/publications/ppn-0223-tackling-modern-slavery-in-government-supply-chains,2,13
lasting power of attourney,/government/publications/make-a-lasting-power-of-attorney,2,13
supporting document,/government/publications/visitor-visa-guide-to-supporting-documents,2,13
jcvi,/government/publications/covid-19-vaccination-vaccine-product-information-poster,2,13
holiday pay calculator,/government/publications/calculating-holiday-entitlement-for-workers,2,13
move to uc,/government/publications/completing-the-move-to-universal-credit,2,13
dominica,/government/publications/uk-visa-requirements-list-for-carriers,2,13
residency test,/government/publications/rdr3-statutory-residence-test-srt,2,13
lawd,/government/publications/la-welfare-direct-bulletins-2023,2,13
the care act 2014,/government/publications/care-act-2014-part-1-factsheets,2,13
ivf,/government/publications/nhs-funded-ivf-in-england,2,13
paracetamol,/government/publications/menb-vaccine-and-paracetamol,2,13
zambrano,/government/publications/eu-settlement-scheme-zambrano-primary-carers,2,13
id1,/government/publications/evidence-of-identity-conveyancers,2,13
vat appeal,/government/publications/vat-appeal-updates,2,13
free courses ,/government/publications/find-a-free-level-3-qualification,2,13
cc7,/government/publications/ex-gratia-payments-by-charities-cc7,2,13
lle,/government/publications/lifelong-learning-entitlement-lle-overview,2,13
dwp annual report,/government/publications/dwp-annual-report-and-accounts-2022-to-2023,2,13
covid testing kits,/government/publications/testing-for-coronavirus-at-home,2,13
view status,/government/publications/view-and-prove-your-immigration-status-evisa,2,13
dea employer guide,/government/publications/direct-earnings-attachments-an-employers-guide,2,13
sa100 2023,/government/publications/self-assessment-self-employment-short-sa103s,2,13
quantum,/government/publications/national-quantum-strategy,2,13
daf,/government/publications/early-years-funding-2023-to-2024,2,13
register lasting power of attorney,/government/publications/register-a-lasting-power-of-attorney,2,13
lcwra,/government/publications/universal-credit-wca-statistics-background-information,2,13
fee waiver,/government/publications/apply-to-extend-your-stay-in-the-uk-form-flrfp,2,13
welder,/government/publications/skilled-worker-visa-shortage-occupations,2,13
domestic abuse act 2021,/government/publications/domestic-abuse-act-2021,2,13
patent forms,/government/publications/patent-forms-and-fees,2,13
childhood immunisation,/government/publications/routine-childhood-immunisation-schedule,2,13
bona,/government/publications/bona-vacantia-dissolved-companies-bvc1,2,13
ds5,/government/publications/excise-notice-ds5-uk-duty-stamps-scheme,2,13
jsp 440,/government/publications/joint-service-publication-jsp-604-network-rules,2,13
naturalisation ,/government/publications/form-an-guidance,2,13
sa103 form,/government/publications/self-assessment-self-employment-short-sa103s,2,13
fit note guidance for patients and employees,/government/publications/fit-note-guidance-for-employers-and-line-managers,2,13
mers,/government/publications/mers-cov-risk-assessment,2,13
security classification,/government/publications/government-security-classifications,2,13
afghan relocation assistance policy,/government/publications/afghan-relocations-and-assistance-policy,2,13
mn1 guide,/government/publications/form-mn1-guidance,2,13
let property campaign guide,/government/publications/let-property-campaign-your-guide-to-making-a-disclosure,2,13
[postcode],/government/publications/find-a-free-level-3-qualification,2,13
ulez,/government/publications/zero-emission-fleets-local-authority-toolkit,2,13
apar,/government/publications/apprenticeship-provider-and-assessment-register-conditions-of-acceptance,2,13
adr,/government/publications/adr,2,13
animal health certificate,/government/publications/how-to-complete-a-health-certificate-for-imports-to-great-britain,2,13
sme,/government/publications/sme-finance-charter,2,13
whp,/government/publications/work-and-health-programme-including-jets-provider-guidance,2,13
pa302,/government/publications/issue-briefing-simple-assessment-ending-the-tax-return,2,13
correct a birth certificate,/government/publications/application-form-to-correct-details-on-a-birth-registration,2,13
agent update,/government/publications/agent-update-issue-113,2,13
personal savings allowance ,/government/publications/income-tax-personal-savings-allowance,2,13
teacher pay,/government/publications/teachers-pay-additional-grant-2023-to-2024,2,13
energy price guarantee,/government/publications/energy-bills-support,2,13
mileage ,/government/publications/rates-and-allowances-travel-mileage-and-fuel-allowances,2,13
apply for arc card,/government/publications/application-registration-card-arc,2,13
ai summit,/government/publications/ai-safety-summit-programme,2,13
cryptosporidium,/government/publications/notifiable-diseases-causative-agents-reports-for-2023,2,13
pip handbook,/government/publications/personal-independence-payment-fact-sheets,2,13
nitrosamine,/government/publications/nitrosamines-impurities-in-medicines,2,13
t1,/government/publications/t1-entries-guide-to-the-data-submission-process,2,13
brucella canis,/government/publications/hairs-risk-assessment-brucella-canis,2,13
prr,/government/publications/private-residence-relief-hs283-self-assessment-helpsheet,2,13
ppe transition,/government/publications/free-personal-protective-equipment-ppe-scheme,2,13
designated recognised stock exchanges,/government/publications/designated-recognised-stock-exchanges-section-1005-income-tax-act-2007,2,13
forms guide,/government/publications/nationality-forms-guide,2,13
welder,/government/publications/skilled-worker-visa-eligible-occupations,2,13
teacher pension grant,/government/publications/teachers-pension-employer-contribution-grant-2023-to-2024-allocations,2,13
eta,/government/publications/statement-of-changes-to-the-immigration-rules-hc-1160-9-march-2023,2,13
pupil premium,/government/publications/the-service-pupil-premium,2,13
high holborn,/government/publications/court-of-protection-daily-hearing-list,2,13
ex160,/government/publications/fees-in-the-civil-and-family-courts-main-fees-ex50,2,13
ifa035,/government/publications/defence-and-security-accelerator-dasa-open-call-for-innovation,2,13
cigarettes,/government/publications/tobacco-products-and-e-cigarette-cross-border-sales-registration,2,13
open an mot testing station,/government/publications/application-for-mot-authorisation-vt01,2,13
redundancy payment,/government/publications/redundancy-payments-form-hr1-advance-notification-of-redundancies,2,13
interview,/government/publications/conducting-the-asylum-interview-process,2,13
status letter,/government/publications/home-office-status-letters,2,13
ipspc,/government/publications/individual-placement-and-support-in-primary-care-initiative,2,13
gpa,/government/publications/gpa-business-plans,2,13
overpayment relief,/government/publications/self-assessment-tax-return-sa100,2,13
lp12,/government/publications/avoiding-errors-when-completing-a-lasting-power-of-attorney-form,2,13
benefit overpayment recovery guide,/government/publications/benefit-overpayment-recovery-staff-guide,2,13
tractor,/government/publications/tractors-regulations-on-use,2,13
slurry infrastructure grant,/government/publications/slurry-infrastructure-grant,2,13
court fee,/government/publications/fees-in-the-civil-and-family-courts-main-fees-ex50,2,13
headteacher standards,/government/publications/national-standards-of-excellence-for-headteachers,2,13
discretionary assistance fund,/government/publications/household-support-fund-guidance-for-local-councils,2,13
crypto,/government/publications/joint-statement-on-the-uk-us-financial-regulatory-working-group-meeting,2,13
fasp,/government/publications/fetal-anomaly-screening-programme-standards,2,13
school direct,/government/publications/school-direct-salaried-funding-manual,2,13
jcvi,/government/publications/shingles-vaccination-why-you-are-being-asked-to-wait,2,13
prevent duty guidance,/government/publications/prevent-duty-guidance,2,13
county lines,/government/publications/county-lines-programme,2,13
sponsor skilled worker,/government/publications/workers-and-temporary-workers-sponsor-a-skilled-worker,2,13
extend leave to remain,/government/publications/apply-to-extend-your-stay-in-the-uk-form-flrfp,2,13
immigration health surcharge,/government/publications/immigration-health-surcharge-applying-for-a-refund,2,13
ics2,/government/publications/import-control-system-2-service-availability-and-issues,2,13
stolen passport,/government/publications/lost-stolen-and-recovered-passports-lsr-team-policy,2,13
removing a director,/government/publications/apply-to-remove-material-about-a-director-rp06,2,13
national minimum wage 2023,/government/publications/the-national-minimum-wage-in-2023,2,13
community grant,/government/publications/social-fund-community-care-grants-research,2,13
opss,/government/publications/opss-enforcement-enforcement-actions,2,13
vacancy,/government/publications/llwr-vacancies,2,13
longhurst group,/government/publications/regulatory-judgement-longhurst-group-limited,2,13
universal credit landlords,/government/publications/universal-credit-and-rented-housing--2,2,13
find ctf,/government/publications/child-trust-fund-guidance-notes-for-providers,2,13
pe & sports grant,/government/publications/pe-and-sport-premium-conditions-of-grant-2023-to-2024,2,13
bully breeds,/government/publications/official-definition-of-an-xl-bully-dog,2,13
continuing healthcare checklist,/government/publications/nhs-continuing-healthcare-checklist,2,13
nmw 2024,/government/publications/the-national-minimum-wage-in-2023,2,13
shortage occupation,/government/publications/skilled-worker-visa-shortage-occupations-for-health-and-education,2,13
touchbase,/government/publications/touchbase-dwp-news-about-work-working-age-benefits-and-services,2,13
title plan,/government/publications/how-to-read-a-title-register-and-title-plan,2,13
school uniforms,/government/publications/cost-of-school-uniforms,2,13
domestic abuse commissioner,/government/publications/domestic-abuse-commissioners-strategic-plan,2,13
holidays,/government/publications/calculating-holiday-entitlement-for-workers,2,13
skilled jobs,/government/publications/skilled-worker-visa-shortage-occupations,2,13
sar,/government/publications/subject-access-request-privacy-policy,2,13
self serve time to pay,/government/publications/self-serve-time-to-pay-screening-equality-impact-assessment,2,13
title number,/government/publications/registered-titles-whole-transfer-tr1,2,13
acsp,/government/publications/economic-crime-and-corporate-transparency-bill-2022-factsheets,2,13
change the register,/government/publications/change-the-register-ap1,2,13
immunoglobulin when,/government/publications/immunoglobulin-when-to-use,2,13
student loan tables,/government/publications/sl3-student-loan-deduction-tables,2,13
msn 1846,/government/publications/msn-1846-m-mlc-2006-food-and-catering-ships-cooks-and-catering-staff,2,13
post 16 funding,/government/publications/advice-funding-regulations-for-post-16-provision,2,13
health power of attorney,/government/publications/how-to-be-an-attorney,2,13
guidance on third country processed iron and steel measures,/government/publications/notice-to-importers-2953-russia-import-sanctions,2,13
overseas criminal record check,/government/publications/criminal-records-checks-for-overseas-applicants,2,13
id verification,/government/publications/dbs-identity-checking-guidelines,2,13
data collections maintenance schedule,/government/publications/data-collection-maintenance-schedule-for-2014-to-2015,2,13
animal activity licence,/government/publications/animal-activities-licensing-guidance-for-local-authorities,2,13
fasp handbook,/government/publications/fetal-anomaly-screening-programme-handbook,2,13
my divorce,/government/publications/myhmcts-how-to-apply-online-for-a-divorce-or-dissolution,2,13
china,/government/publications/apply-for-a-uk-visa-in-china,2,13
innovator founder visa,/government/publications/endorsing-bodies-innovator-founder-and-scale-up-visas,2,13
made redundant,/government/publications/redundancy-payments-rp1-fact-sheet,2,13
care workers,/government/publications/skilled-worker-visa-shortage-occupations,2,13
benefits in kind,/government/publications/income-tax-exemption-for-trivial-benefits-in-kind,2,12
cause list,/government/publications/royal-courts-of-justice-cause-list,2,12
eu settlement scheme update,/government/publications/eu-settlement-scheme-update,2,12
trust registration services,/government/publications/trust-registration-service,2,12
consular fees,/government/publications/turkey-consular-fees,2,12
holiday entitlement,/government/publications/calculating-holiday-pay-for-workers-without-fixed-hours-or-pay,2,12
permission to stay,/government/publications/application-to-extend-stay-or-settle-in-the-uk-form-dl,2,12
war widows,/government/publications/war-widows-recognition-payment-qa,2,12
cbd,/government/publications/acmd-advice-on-consumer-cannabidiol-cbd-products,2,12
self assessment property,/government/publications/self-assessment-uk-property-sa105,2,12
rwanda,/government/publications/memorandum-of-understanding-mou-between-the-uk-and-rwanda,2,12
partnership tax returns,/government/publications/self-assessment-partnership-tax-return-sa800,2,12
ukr,/government/publications/ukraine-family-scheme-application-data,2,12
belumosudil,/government/publications/orphan-registered-medicinal-products,2,12
radicalisation,/government/publications/the-prevent-duty-safeguarding-learners-vulnerable-to-radicalisation,2,12
statutory declaration,/government/publications/declaring-compliance-with-the-code-of-practice,2,12
tb test in nigeria,/government/publications/tuberculosis-test-for-a-uk-visa-clinics-in-nigeria,2,12
cfsp,/government/publications/customs-freight-simplified-procedures-service-availability-and-issues,2,12
child arrangement,/government/publications/your-child-maintenance-arrangement,2,12
chda,/government/publications/universal-credit-wca-statistics-background-information,2,12
environmental permitting charges,/government/publications/environmental-permitting-charges-guidance,2,12
lorry and bus show me tell me questions,/government/publications/lorry-and-bus-show-me-tell-me-vehicle-safety-questions,2,12
egate,/government/publications/coming-to-the-uk,2,12
esos,/government/publications/comply-with-the-energy-savings-opportunity-scheme-esos,2,12
service leavers guide,/government/publications/service-leavers-pack,2,12
vrs,/government/publications/voluntary-returns-service-vrs-stories-of-return,2,12
power of at,/government/publications/make-a-lasting-power-of-attorney,2,12
verify identity,/government/publications/identity-proofing-and-verification-of-an-individual,2,12
apply for maternity allowance,/government/publications/maternity-allowance-claim-form,2,12
flr,/government/publications/application-to-extend-stay-in-uk-long-residence-form-flrlr,2,12
skill shortage list,/government/publications/skilled-worker-visa-shortage-occupations,2,12
gibraltar visa,/government/publications/gibraltar-apply-for-a-uk-visa,2,12
pe grant,/government/publications/pe-and-sport-premium-conditions-of-grant-2023-to-2024,2,12
direct earnings attachments,/government/publications/direct-earnings-attachments-an-employers-guide,2,12
dropshipping,/government/publications/opss-enforcement-actions,2,12
e scooters,/government/publications/e-scooter-trials-guidance-for-local-areas-and-rental-operators,2,12
fgm course,/government/publications/female-genital-mutilation-resource-pack,2,12
supporting pupils with medical conditions,/government/publications/supporting-pupils-at-school-with-medical-conditions--3,2,12
white goods scheme,/government/publications/household-support-fund-guidance-for-local-councils,2,12
pdsat,/government/publications/ilr-data-provider-data-self-assessment-toolkit-pdsat,2,12
gcse 2023,/government/publications/infographic-gcse-results-2023,2,12
shortage occupation list 2023,/government/publications/review-of-the-shortage-occupation-list-2023,2,12
pre charge bail,/government/publications/pre-charge-bail-statutory-guidance,2,12
section 19,/government/publications/section-19-and-22-permits-not-for-profit-passenger-transport,2,12
business and planning act 2020,/government/publications/pavement-licences-draft-guidance,2,12
holiday calculator,/government/publications/calculating-holiday-pay-for-workers-without-fixed-hours-or-pay,2,12
minimum wage 2024,/government/publications/minimum-wage-rates-for-2023,2,12
academy complaint,/government/publications/complain-about-an-academy,2,12
sa103s 2023,/government/publications/self-assessment-self-employment-short-sa103s,2,12
ulez zone,/government/publications/tfl-consultation-on-ulez-expansion-commissioner-response,2,12
universal tax,/government/publications/universal-credit-and-tax-credits,2,12
how to join cloud video platform,/government/publications/how-to-join-a-cloud-video-platform-cvp-hearing,2,12
power of atourney,/government/publications/make-a-lasting-power-of-attorney,2,12
dbc,/government/publications/decision-for-dbc-site-services-2005-ltd-og1059433,2,12
campervan,/government/publications/carriage-of-passengers-in-campervans,2,12
vacancies,/government/publications/nuclear-decommissioning-authority-vacancies,2,12
air quality,/government/publications/the-air-quality-strategy-for-england,2,12
save as you earn,/government/publications/save-as-you-earn-end-of-year-template,2,12
returning residents,/government/publications/returning-residents,2,12
incommunities,/government/publications/regulatory-judgement-incommunities-group-limited,2,12
tapered annual allowance,/government/publications/pensions-tapered-annual-allowance,2,12
grants for white goods,/government/publications/household-support-fund-guidance-for-local-councils,2,12
applying for probate,/government/publications/myhmcts-how-to-apply-for-probate-online,2,12
eu settlement scheme caseworker guidance,/government/publications/eu-settlement-scheme-caseworker-guidance,2,12
business center performance,/government/publications/hmcts-civil-business-centres-performance-information,2,12
shortage occupational list,/government/publications/skilled-worker-visa-shortage-occupations,2,12
tb test ghana,/government/publications/tuberculosis-test-for-a-uk-visa-clinics-in-ghana,2,12
stillbirth certificate,/government/publications/how-to-order-and-pay-for-certificates,2,12
civil business centre,/government/publications/hmcts-civil-business-centres-performance-information,2,12
dwp customer charter,/government/publications/our-customer-charter,2,12
update settlement scheme,/government/publications/eu-settlement-scheme-update,2,12
blue badge criteria,/government/publications/blue-badge-scheme-review-of-eligibility-criteria,2,12
transfer property,/government/publications/registered-titles-whole-transfer-tr1,2,12
enduring power of attorney,/government/publications/make-a-lasting-power-of-attorney,2,12
subject reports,/government/publications/subject-report-series-science,2,12
adult safeguarding,/government/publications/safeguarding-policy-protecting-vulnerable-adults,2,12
sats results,/government/publications/results-at-the-end-of-key-stage-2-information-for-parents,2,12
teachers pay,/government/publications/teachers-pay-additional-grant-2023-to-2024,2,12
ai,/government/publications/frontier-ai-capabilities-and-risks-discussion-paper,2,12
charities detailed guidance,/government/publications/charities-detailed-guidance-notes,2,12
named tax avoidance schemes,/government/publications/named-tax-avoidance-schemes-promoters-enablers-and-suppliers,2,12
incomplete immunisation,/government/publications/vaccination-of-individuals-with-uncertain-or-incomplete-immunisation-status,2,12
ec sales list,/government/publications/ec-sales-list-service-availability-and-issues,2,12
health and welfare power of attorney,/government/publications/how-to-be-an-attorney,2,12
direct earnings,/government/publications/direct-earnings-attachments-an-employers-guide,2,12
engineering apprenticeship,/government/publications/des-engineering-management-apprenticeships,2,12
duty deferment,/government/publications/duty-deferment-electronic-statements-service-availability-and-issues,2,12
partnership returns,/government/publications/self-assessment-partnership-tax-return-sa800,2,12
s041,/government/publications/so41-5rj-environmental-permit-application-advertisement,2,12
apply flr,/government/publications/apply-to-extend-your-stay-in-the-uk-form-flrfp,2,12
covid vaccine,/government/publications/covid-19-vaccination-booking-an-appointment-letter,2,12
notice 2002,/government/publications/excise-notice-2002-alcohol-wholesaler-registration-scheme,2,12
scitt,/government/publications/accredited-initial-teacher-training-itt-providers,2,12
authenticator,/government/publications/authentication-credentials-for-online-government-services,2,12
brp collection,/government/publications/biometric-residence-permits-overseas-applicant-and-sponsor-information,2,12
